,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8
1980-02-01,28.632935,10.975372,21.188354,27.409088,26.525208,23.694458,27.058716,16.10141
1980-03-01,29.166931,11.0224,22.016296,27.906952,27.194305,24.964844,28.09253,17.969604
1980-04-01,29.560364,13.430511,25.79773,29.401001,29.024872,27.071075,28.764069,22.190002
1980-05-01,29.58905,17.785522,28.766571,30.534302,30.73471,29.3154,29.923096,26.137726
1980-06-01,29.348053,23.299042,31.130127,28.75418,28.343933,29.916168,30.117096,28.833374
1980-07-01,28.953125,27.319519,33.206177,27.732727,26.300049,27.804993,29.263916,32.1214
1980-08-01,28.854156,27.686218,33.635254,26.92163,25.102417,26.816193,28.707672,32.38269
1980-09-01,28.864044,23.778107,33.233887,27.573883,25.779907,27.053253,29.19809,31.481995
1980-10-01,28.490906,20.47522,31.568115,28.629486,27.566956,28.212769,29.261444,29.091705
1980-11-01,28.533478,18.373444,28.481995,28.357788,27.926239,28.058868,28.445862,24.656525
1980-12-01,28.07074,15.102234,24.744598,27.495697,26.687042,25.737854,27.113129,19.858093
1981-01-01,28.13974,12.367462,22.503113,27.289246,26.155273,24.346619,26.09375,16.92392
1981-02-01,28.341217,10.835144,22.081207,27.29898,26.243439,24.089264,26.527954,17.06491
1981-03-01,29.08609,11.014038,23.041412,28.221252,27.619415,25.188904,27.957245,18.763824
1981-04-01,29.613617,14.980957,25.81897,29.645905,29.350128,27.239532,29.400879,22.578491
1981-05-01,29.756653,19.691223,27.874695,30.184723,30.27649,28.529358,30.085785,25.433441
1981-06-01,28.87027,25.256073,30.625092,28.42221,28.035156,29.159424,29.86737,27.841888
1981-07-01,28.486816,28.12384,32.079987,27.290802,25.686188,27.63733,29.209656,29.96634
1981-08-01,28.480133,28.352997,33.314972,27.227722,25.302216,26.654602,28.9487,32.236877
1981-09-01,28.466827,26.641785,32.982788,27.38205,26.114258,27.628113,29.205048,32.123047
1981-10-01,28.521667,23.634033,30.963959,28.154602,27.628113,28.49347,30.048859,29.082
1981-11-01,28.205353,19.627136,27.913147,27.803955,27.417938,26.917053,29.01178,25.03357
1981-12-01,27.946472,16.207214,25.05307,26.999084,26.21524,25.560577,27.189789,20.152618
1982-01-01,27.962372,14.165436,22.672089,26.580475,25.816925,24.308838,25.759338,17.537567
1982-02-01,28.210693,11.973419,21.308228,27.183289,26.684113,24.087555,26.613007,15.40863
1982-03-01,29.366272,11.420654,21.555573,28.110077,27.498718,24.881622,28.331879,16.284332
1982-04-01,30.06073,14.4328,24.195679,29.43988,28.88211,26.898895,28.579712,22.010193
1982-05-01,29.908539,19.914307,28.484589,30.52887,30.135345,28.778473,29.454407,25.575592
1982-06-01,29.182526,25.508484,31.113678,29.068878,28.809021,29.685211,29.591583,29.634644
1982-07-01,28.714905,26.984528,32.62024,28.181671,26.786255,28.89563,29.359283,31.1297
1982-08-01,28.490082,27.277405,32.536133,27.13272,25.522522,27.699005,29.039825,30.945465
1982-09-01,28.206696,26.301575,33.152985,28.013428,26.42926,27.932312,29.206573,31.743042
1982-10-01,28.723389,21.979645,31.492188,28.691345,27.951843,28.662811,30.228455,29.836945
1982-11-01,28.996277,17.585114,26.901917,28.653809,27.761078,27.276917,28.907654,23.922302
1982-12-01,28.169128,13.588135,22.83731,27.684967,26.90741,25.42987,27.2659,18.8844
1983-01-01,28.07306,11.336456,21.154816,26.949768,25.909912,24.04483,26.077759,16.568054
1983-02-01,28.039307,10.231964,19.652924,26.834503,25.764252,23.597229,26.927094,15.047333
1983-03-01,28.86792,10.484222,20.675903,27.713745,27.175507,24.404144,27.824188,16.329803
1983-04-01,29.47467,14.116486,23.126038,28.964874,28.289154,25.219727,29.387848,21.200165
1983-05-01,29.75586,19.545837,28.05185,30.096344,29.924652,28.020508,30.664032,25.253967
1983-06-01,29.208435,24.43985,31.427063,29.63623,28.933014,29.308746,30.780762,28.291565
1983-07-01,28.697662,28.006042,32.85904,28.281433,27.18515,29.005371,29.942993,30.66452
1983-08-01,28.901672,27.579193,32.902435,28.003143,26.693665,27.625977,29.313568,31.295868
1983-09-01,28.845734,24.997864,32.449066,27.494781,25.97165,28.538025,29.452972,29.897156
