,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8,mgv500_cluster9,mgv500_cluster10
1977-04-01,-0.07794361,0.3506074,-0.2612913,-0.23410812,0.23535629,-0.6406075,0.18237688,0.02163558,-0.3536586,-0.17904834
1977-05-01,-0.013452863,0.25199908,-0.114418924,0.23674321,0.020387363,-0.78956014,-0.02843138,0.13882837,-0.23383069,0.082936384
1977-06-01,-0.43992358,-0.070315644,-0.18501195,0.27210906,-0.14409856,-0.29499286,0.51342905,0.3425634,0.07364416,-0.0066570877
1977-07-01,-0.7455955,-0.88012445,-0.80370647,0.2777953,0.28181735,-0.023299789,0.44297466,-0.18528935,0.029263496,0.009846973
1977-08-01,-0.37404594,-0.16018657,-0.65946925,0.3281397,-0.4023386,0.020942116,0.46086568,0.053534187,0.24298425,-0.17599715
1977-09-01,-0.38597327,0.27765664,-0.2141368,0.24034914,-0.21288857,-0.35268775,0.16781446,0.14673361,0.1438212,-0.08890007
1977-10-01,-0.16989484,0.3411765,0.054505013,0.19042087,-0.19999047,-0.3772358,0.17946437,-0.21247253,-0.03328552,-0.078914404
1977-11-01,0.19069819,-0.257824,-0.30178863,-0.094170265,-0.26891917,0.05395026,0.22758976,-0.025102824,0.15533237,-0.12870398
1977-12-01,-0.19139175,-0.16504073,0.037446212,0.13466766,-0.30470115,-0.08196558,0.14479199,0.23119564,0.08612633,0.28639406
1978-01-01,0.4194444,-0.33502063,0.5338701,-0.10535532,0.24920139,0.5444521,-0.29618102,-0.16675442,0.31571707,-0.10593678
1978-02-01,-0.454214,-0.23745647,-0.11512337,-0.09512213,-0.15652128,0.37944195,0.15047438,-0.33955574,0.49723992,-0.36537135
1978-03-01,0.1680336,-0.24606165,-0.24199161,-0.13872948,0.32478744,0.16152157,-0.21105953,-0.62817824,0.0588408,-0.35955706
1978-04-01,-0.21408296,0.32641548,-0.4772387,0.10116901,-0.22908387,-0.08872642,0.09988989,-0.42897996,0.36665043,-0.2993208
1978-05-01,0.11407679,0.16245186,0.1257054,-0.015466059,-0.33583456,-0.20605926,0.24466625,-0.24699196,0.2103618,-0.56503475
1978-06-01,-0.09872701,-0.006046891,-0.26920262,0.35118443,0.041746713,0.1721036,0.26827234,0.547243,0.009070301,-0.43304992
1978-07-01,-0.25292253,0.28362203,-0.51328737,0.17791793,-0.08523781,0.041165352,0.7594654,0.05721283,0.024885226,-0.3072282
1978-08-01,-0.026048124,-0.081400394,-0.6588778,0.34676552,-0.2137341,0.24199161,0.28641298,-0.2229207,-0.2091989,-0.8631927
1978-09-01,0.1115185,0.01267519,-0.2364099,0.012210053,-0.6179451,0.2448988,0.30106506,-0.50224024,0.027908688,0.23315386
