,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5
1998-08-01,18.31836,68.25688,67.3268,33.487087,34.14624
1998-09-01,15.534725,66.43802,57.62787,33.855484,43.713013
1998-10-01,17.812843,68.53111,48.39645,31.871424,28.405514
1998-11-01,16.684525,65.90442,50.968628,37.286705,55.643806
1998-12-01,19.089844,67.07404,35.25969,29.943533,55.509995
1999-01-01,20.083263,66.95048,25.485035,28.57153,53.446865
1999-02-01,22.310123,58.825714,38.248543,30.952305,51.275677
1999-03-01,20.227352,64.22421,17.826931,33.139866,55.428116
1999-04-01,20.346882,66.695045,24.021202,23.647877,52.227005
1999-05-01,19.095913,66.131775,51.601517,38.41392,40.46558
1999-06-01,21.604404,63.942577,56.855923,31.448435,43.982708
1999-07-01,18.30505,67.027435,70.12866,33.55249,42.345314
1999-08-01,18.388557,68.58951,68.507645,32.840225,33.128403
1999-09-01,25.907484,66.52803,56.738033,31.235573,38.882217
1999-10-01,15.703224,71.32233,58.388527,22.200417,46.94476
1999-11-01,19.580582,71.199524,43.095238,28.543694,44.187386
1999-12-01,19.490524,71.412384,38.050423,32.54058,41.68544
2000-01-01,24.724768,63.83022,29.106627,31.19466,62.856476
2000-02-01,16.339172,65.02315,38.77717,36.145374,50.947323
2000-03-01,12.522823,63.945663,22.225151,38.721954,49.811287
2000-04-01,14.692841,64.48273,37.41359,27.520525,60.65467
2000-05-01,24.52567,62.59547,44.32518,31.646399,47.413727
2000-06-01,18.863888,65.40294,58.80589,33.886684,29.277283
2000-07-01,27.86351,69.4669,67.97617,31.432241,22.522964
2000-08-01,16.732353,67.233315,56.00846,37.677937,39.299175
2000-09-01,17.545483,65.083374,51.844105,36.009853,39.824528
2000-10-01,7.3730087,70.21144,48.109737,26.814476,57.58787
