,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11,msl_cluster12
1975-05-01,1018.99725,1018.7212,1016.734,1011.8615,1014.4486,1018.461,1014.7039,1014.7703,1009.42865,1012.669,1016.12024,1015.84143
1975-06-01,1020.53406,1015.30383,1020.01025,1012.8585,1008.3714,1015.59375,1012.50635,1015.94037,1010.17523,1008.2898,1015.17377,1014.61884
1975-07-01,1019.01807,1022.88586,1020.9907,1013.32697,1011.4546,1020.2594,1015.9494,1019.33844,1011.3432,1014.7191,1017.62036,1018.9433
1975-08-01,1017.4453,1027.3536,1022.4652,1013.52484,1017.5913,1028.0414,1015.51,1024.615,1010.83124,1017.58167,1016.80524,1013.91376
1975-09-01,1018.98206,1027.7694,1021.8072,1013.73456,1021.2834,1026.8285,1018.9897,1022.67694,1010.3759,1021.7532,1018.54333,1020.3043
1975-10-01,1013.31244,1024.7161,1023.2229,1013.15125,1020.3348,1025.4253,1015.1702,1027.746,1009.51654,1022.86237,1016.16736,1014.3677
1975-11-01,1012.8821,1025.2509,1016.9492,1012.4185,1013.66675,1024.5431,1015.35913,1017.61414,1007.6532,1017.9981,1014.08813,1015.59717
1975-12-01,1010.9578,1023.13916,1019.9916,1012.3977,1015.28235,1022.5662,1014.2064,1023.20764,1007.6415,1018.2486,1012.8876,1016.8599
1976-01-01,1009.36096,1021.5571,1017.5304,1011.2991,1016.0418,1022.3045,1013.65405,1020.2566,1005.3644,1018.9357,1010.9143,1012.2944
1976-02-01,1012.5996,1021.27167,1019.0467,1011.51056,1018.81915,1024.2766,1016.85693,1021.75195,1006.3406,1020.9096,1010.3469,1018.9116
1976-03-01,1012.858,1022.09424,1017.7709,1010.04913,1020.9269,1024.0293,1019.78796,1021.2617,1006.67413,1016.04297,1012.343,1014.5279
1976-04-01,1019.59924,1023.6143,1017.0519,1011.0678,1017.77704,1019.9581,1015.7569,1020.1832,1008.6067,1019.43085,1013.00287,1017.97186
1976-05-01,1022.8237,1017.1752,1017.74744,1012.1211,1010.2711,1013.3938,1017.59015,1016.4136,1010.0497,1010.29266,1016.2952,1021.7649
1976-06-01,1022.22314,1020.3454,1017.1672,1011.43414,1012.3042,1014.01917,1015.81915,1015.9783,1010.4881,1016.54553,1016.90076,1018.0693
1976-07-01,1024.4153,1019.3131,1017.46313,1011.98914,1010.9007,1018.14453,1013.318,1015.4744,1011.56915,1009.98804,1016.6233,1017.8233
1976-08-01,1019.5647,1025.4951,1018.0051,1012.2049,1010.0837,1026.8597,1012.29126,1018.7273,1012.1414,1009.2851,1016.63745,1010.535
1976-09-01,1018.1439,1023.7672,1014.5174,1012.0125,1011.645,1020.3738,1011.04865,1011.20905,1011.7912,1007.95123,1013.8465,1012.8586
1976-10-01,1011.24725,1020.3164,1017.55133,1011.8164,1009.6513,1017.1715,1011.18866,1016.00226,1009.9572,1011.66846,1014.4175,1010.90625
1976-11-01,1009.0057,1022.4729,1016.5955,1010.68304,1012.84686,1021.71564,1010.82056,1019.6905,1008.11835,1016.46906,1012.18335,1009.443
1976-12-01,1008.81335,1018.01447,1014.2596,1009.628,1011.1381,1014.9429,1009.52185,1014.77203,1007.2532,1015.2469,1010.0707,1010.6053
1977-01-01,1009.2468,1018.6942,1014.0032,1010.13696,1013.46173,1017.2542,1011.58185,1016.46423,1006.4858,1016.1503,1010.8058,1012.70447
1977-02-01,1010.86774,1021.6647,1018.056,1010.6012,1016.89014,1023.78467,1017.36975,1020.46484,1007.39124,1016.8178,1011.3925,1017.6926
1977-03-01,1012.8611,1020.37854,1014.3602,1009.40125,1014.0839,1017.98016,1018.16595,1017.00854,1007.53394,1012.7525,1010.1035,1017.1241
1977-04-01,1019.9957,1020.1655,1012.39545,1010.09314,1014.2078,1017.5055,1011.68555,1016.1058,1008.1304,1017.6996,1012.1616,1017.24164
1977-05-01,1016.3201,1020.2428,1015.7975,1010.9812,1012.0377,1012.6175,1012.5673,1016.82263,1010.1599,1018.2411,1013.8097,1014.9637
1977-06-01,1021.72736,1019.7751,1016.8477,1011.1301,1010.2449,1018.6448,1013.3274,1015.295,1010.5636,1011.2541,1017.1025,1013.0588
1977-07-01,1024.1661,1023.6741,1018.76245,1010.5323,1013.2098,1029.0249,1015.2128,1020.5525,1009.791,1011.6027,1016.0801,1016.5561
1977-08-01,1020.31726,1024.1411,1018.7888,1012.0739,1014.6498,1025.1865,1016.26514,1018.5153,1011.396,1013.71783,1016.4002,1019.1647
1977-09-01,1019.0965,1023.80634,1015.4822,1012.4135,1007.7615,1019.80994,1008.351,1014.56354,1012.0162,1014.3262,1014.7138,1015.4063
1977-10-01,1018.7541,1022.1359,1018.3205,1012.01056,1017.47205,1019.22943,1015.5393,1017.90424,1011.53937,1018.3246,1016.7343,1018.6058
1977-11-01,1013.5327,1023.62115,1017.4275,1011.2763,1018.175,1022.25903,1017.82495,1020.6061,1009.6213,1018.555,1016.2026,1018.31
1977-12-01,1011.2213,1021.57776,1015.39655,1010.5337,1016.966,1020.0952,1012.7587,1018.8404,1008.5376,1018.11237,1013.12976,1013.4402
1978-01-01,1010.48584,1022.6907,1019.64417,1011.70087,1018.1732,1024.2284,1020.9878,1021.87286,1008.15576,1016.7282,1014.9367,1018.6804
1978-02-01,1012.13007,1020.50995,1016.161,1010.5365,1015.49854,1022.1462,1015.9964,1017.69,1008.1624,1017.2674,1009.93134,1016.23236
1978-03-01,1014.6821,1023.5672,1016.6396,1011.15564,1019.6881,1024.3143,1020.7972,1019.6295,1009.2109,1017.0608,1013.18915,1020.2053
1978-04-01,1016.91425,1022.2568,1015.61053,1010.65576,1015.78046,1017.1108,1015.2246,1015.15796,1009.22217,1017.6953,1011.9621,1012.0921
1978-05-01,1017.1621,1020.83057,1016.65094,1011.0117,1016.7809,1016.23834,1016.90424,1013.1678,1008.8109,1014.5708,1014.5508,1016.31305
1978-06-01,1014.90204,1017.5054,1016.9542,1011.9955,1009.41345,1022.64935,1008.777,1016.7482,1009.9933,1011.8228,1013.0859,1007.58185
1978-07-01,1015.7725,1017.784,1015.38727,1011.8575,1008.6623,1014.4035,1008.57367,1011.37756,1010.0513,1008.69495,1014.8947,1010.27124
1978-08-01,1021.7377,1027.92,1018.0839,1012.53,1018.4625,1025.9053,1017.7753,1017.1961,1010.8211,1018.19116,1015.51984,1016.1124
1978-09-01,1015.1373,1021.86755,1020.53656,1012.7039,1020.83716,1021.19775,1018.5065,1018.1426,1010.8251,1016.9375,1015.63983,1015.50525
1978-10-01,1019.19226,1022.0988,1015.6878,1012.0348,1016.61163,1017.64734,1016.9402,1015.3599,1010.3198,1015.6638,1015.86975,1020.9265
1978-11-01,1014.95337,1020.2353,1016.9482,1011.33826,1018.6717,1020.0767,1019.7508,1019.8368,1008.7696,1019.6928,1016.1717,1018.15186
1978-12-01,1009.45544,1023.34717,1016.9609,1011.4143,1018.47046,1021.8829,1012.2654,1021.10913,1008.3857,1021.9416,1012.1967,1011.44696
1979-01-01,1009.9924,1019.44635,1016.53,1010.81525,1016.31024,1018.37646,1015.60126,1020.28375,1006.8002,1016.20844,1011.2785,1017.0452
1979-02-01,1012.7381,1020.8869,1017.6554,1011.00555,1018.2157,1023.3869,1015.8083,1021.4293,1007.7954,1021.0031,1013.11163,1017.158
1979-03-01,1012.723,1019.62213,1017.7734,1010.6354,1021.0118,1019.4579,1015.9355,1018.5991,1008.7554,1020.14954,1013.12964,1012.4356
