,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10,ssta30_cluster11,ssta30_cluster12
1976-01-01,-3.481079,0.64663696,1.0499268,-1.7809753,2.07724,3.9673157,-6.0474243,-5.3269043,2.0707703,-1.7670288,-4.367676,-1.1285706
1976-02-01,-2.9783325,1.7550659,1.3378601,0.17376709,2.4124146,3.453186,-5.987213,-4.43927,2.1116028,-0.40802002,-3.8345947,-0.643219
1976-03-01,-3.494629,0.70370483,1.3948975,0.95928955,2.2874756,3.3128052,-5.779022,-5.8988647,1.996582,0.37054443,-4.559265,0.25915527
1976-04-01,-3.6904602,-0.45480347,1.3924866,0.6262207,1.3894958,3.0946045,-7.5585938,-7.303528,2.34375,0.36517334,-5.7391357,1.3059692
1976-05-01,-4.255188,-2.0041199,1.5010376,0.5264282,0.21862793,3.37323,-9.35553,-8.878174,2.4423523,0.22756958,-6.909027,1.905304
1976-06-01,-4.8792725,-3.0200195,1.1813049,-0.30996704,-0.67248535,3.3528137,-10.377411,-10.407745,2.8053284,0.102752686,-8.662872,1.8590393
1976-07-01,-5.1735535,-3.6743164,1.0978394,-1.3034058,-1.6793213,3.2325745,-10.869598,-10.852203,2.8178406,-0.66741943,-8.56134,1.8939514
1976-08-01,-5.8093567,-3.3484192,1.0119934,-2.56427,-1.775116,3.401825,-11.419403,-10.571075,2.8145447,-1.3638916,-8.22702,1.5932922
1976-09-01,-5.899048,-3.3138123,0.949646,-2.9518127,-1.846405,3.2340393,-12.311157,-11.013336,3.3449402,-1.972229,-8.643921,1.4046326
1976-10-01,-5.950653,-4.382324,1.3759155,-3.4017334,-1.3246765,3.4325562,-12.065918,-11.163391,3.5513916,-2.2306824,-8.541351,1.0874939
1976-11-01,-5.562042,-2.9479675,1.574585,-2.9046936,0.0042419434,3.8500366,-11.846344,-9.794678,3.3537598,-2.4889832,-7.5620117,0.83169556
1976-12-01,-4.516968,-1.7512512,1.7772827,-1.9769897,1.204956,3.5848083,-10.001221,-7.934601,3.399353,-1.9123535,-5.8565674,0.5321655
1977-01-01,-2.9328308,-0.53656006,2.071869,-1.0527954,1.4335022,3.6453552,-8.641052,-6.2180176,3.5787048,-0.74624634,-4.227539,0.6404114
1977-02-01,-2.3746643,-0.0435791,2.1936035,0.24057007,1.5265198,3.5228577,-7.4566956,-5.657898,2.6495056,-0.07910156,-3.3258667,0.61813354
1977-03-01,-2.6374512,-0.43725586,2.110321,1.0603333,1.2218933,3.0761414,-8.465881,-5.904175,2.4854736,0.39083862,-3.1541748,0.8360596
1977-04-01,-3.143982,-1.027008,2.264038,-0.18331909,0.6676636,3.0600586,-10.415527,-6.508484,3.0804749,0.33340454,-4.659607,0.68518066
1977-05-01,-3.5047913,-2.123932,2.2608643,-1.446167,-0.7265625,2.9931335,-11.399597,-7.956726,3.0510254,0.19351196,-6.0319214,1.2060242
1977-06-01,-3.901703,-3.7445679,2.2483215,-2.7077026,-1.3531494,3.057953,-12.723389,-9.648865,3.6870422,0.169281,-7.0141907,1.4761658
1977-07-01,-4.7223206,-4.396332,1.8407898,-3.3327026,-1.9625854,3.1603394,-12.540741,-10.490875,4.118347,-0.7340393,-7.7700806,1.1703186
1977-08-01,-5.221405,-5.17276,1.7474976,-5.334778,-2.1853333,3.139038,-12.511414,-11.73877,3.7102356,-2.0359497,-8.488129,0.6566467
1977-09-01,-5.513275,-5.3964844,1.5870056,-5.7769775,-2.0996094,3.295288,-13.856171,-11.963501,4.210022,-2.9403687,-9.093323,0.5307007
1977-10-01,-5.326416,-4.9065247,1.6950073,-4.617523,-2.1331787,3.0797424,-13.289337,-11.385468,3.799347,-2.4153748,-8.746399,0.379364
1977-11-01,-4.9818726,-3.506134,2.0585632,-3.8370056,-0.7250061,3.3843994,-11.431122,-9.943726,3.842743,-2.3734436,-7.9298706,1.0348511
1977-12-01,-4.532379,-1.7541809,1.9100647,-2.9666748,0.6756592,3.9559937,-9.949188,-8.093964,3.803711,-1.8495483,-6.0314636,1.0089417
1978-01-01,-3.981079,-1.1861267,2.06604,-1.4582214,1.2516785,4.1384277,-7.8726196,-7.092102,3.6937866,-1.1261902,-4.5465393,0.8659973
1978-02-01,-3.3387146,-0.9468689,2.3918152,-0.36013794,1.9515076,3.4942322,-7.2341614,-5.5261536,3.278656,-0.45581055,-3.884369,1.4551697
1978-03-01,-3.1584473,-1.1251831,2.3338013,-0.57907104,1.1347351,3.0771484,-7.81073,-5.7948914,2.180603,0.54074097,-5.1448364,1.3778381
1978-04-01,-3.5671082,-1.8808594,2.4132996,-1.1931152,0.54244995,2.757904,-9.4392395,-7.604126,2.581482,0.64297485,-5.4930725,1.3693848
1978-05-01,-3.6480713,-2.8279114,2.0950317,-2.2614746,-0.35629272,3.138977,-10.85025,-8.891418,2.8451233,0.48660278,-5.766388,1.0177612
