,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6,mgv250_cluster7,mgv250_cluster8,mgv250_cluster9,mgv250_cluster10,mgv250_cluster11
1977-08-01,0.3367385,0.40358686,0.23064084,-0.5927595,-0.22703496,-0.85169303,1.9245962,0.08460069,-0.03162136,-0.05519848,-0.15422288
1977-09-01,0.5002535,0.05824957,0.044519376,-0.3801481,-0.29527023,0.12371113,0.6584984,-0.061439514,0.71258736,-0.02219038,-0.47362512
1977-10-01,-0.3292492,0.23604974,-0.02440939,-0.2568532,-0.22925396,0.61203736,0.5691823,-0.03300812,0.67541856,-0.41801053,-0.56030613
1977-11-01,-0.81452435,0.1151124,0.21524632,-0.34339556,-0.31108087,-0.503166,1.0224199,-0.3761263,-0.64657104,0.41384983,0.28334293
1977-12-01,-1.1670732,-0.018723106,-0.19915828,-0.31981835,-0.08751316,0.2984601,0.0869584,0.051315118,-0.58443815,-0.0725347,0.37806797
1978-01-01,0.7005083,-0.10372734,0.67213434,0.28036612,-0.45735377,-0.6131773,0.69446135,-0.12849626,-1.2820556,0.34118375,-0.5986415
1978-02-01,0.6273642,0.30676302,0.0431422,-0.072097495,-0.10105276,-0.75004625,0.54817325,-0.08488895,-0.7285332,0.7948163,0.08279578
1978-03-01,0.567593,0.1807088,0.42246786,-0.16477756,-0.45723742,-0.6114331,-0.19257012,0.14256692,-0.17408046,0.421305,-0.10442503
1978-04-01,0.25652733,0.4103741,0.19373289,0.25524837,-0.20524517,-0.60922354,-0.17419676,-0.22164159,1.0929743,-0.6093399,0.37095305
1978-05-01,-0.66143596,-0.077795506,0.23524709,0.36176646,-0.733301,0.08407493,0.44305056,0.57247716,0.557011,-0.8417961,0.19117455
1978-06-01,0.9773858,0.0725626,-0.020233918,0.28245926,-0.2431545,-0.29211098,1.2494956,0.039304733,-0.5981763,-0.44863233,0.6448071
1978-07-01,0.4718895,0.2717609,-0.08279581,-0.014884663,-0.1916397,-0.3219965,0.7357429,0.071167186,0.24745703,-0.35513815,0.04372363
1978-08-01,0.7915603,0.074074365,-0.15175352,0.3887449,-0.34316066,-0.9566868,1.1733282,0.6134099,0.07395802,-0.31187963,-0.088958964
1978-09-01,-0.3592082,0.30466992,0.24699192,0.26234174,-0.2339679,0.034769632,0.40642038,0.0060468675,-0.003372383,-0.22675815,0.21501322
1978-10-01,0.09140096,-0.06546917,0.34292817,-0.025582885,-0.12640312,0.13163602,0.64213264,0.8387725,-0.17617364,-0.34223038,-0.62852705
1978-11-01,-0.5599182,0.299437,0.4107229,0.012210083,-0.19129081,-0.15512581,0.91180027,0.44921368,0.026629543,0.364906,-0.21559462
1978-12-01,0.14652066,0.04116533,0.11500709,-0.40932757,-0.42188644,-0.27164465,0.33478802,0.23768905,-0.090587,-0.016047478,0.17152219
1979-01-01,1.1551473,-0.122846864,-0.18783969,-0.13712445,-0.43992862,-0.7736675,-0.2553609,0.7824423,-0.11065141,1.028136,0.029893732
1979-02-01,-0.102768995,0.036288906,0.681458,-0.2474784,-0.5464157,-0.9390497,-0.15497145,0.5612882,-0.30012703,0.4558421,-0.52336335
1979-03-01,-0.39278278,0.24212435,-0.1136259,-0.46580666,-0.36318654,-0.48707443,0.82646483,0.5847868,-0.14946862,0.19616833,0.7170032
