,mgv200_cluster1,mgv200_cluster2,mgv200_cluster3,mgv200_cluster4,mgv200_cluster5
1984-11-01,0.47290856,0.34649014,-0.08290825,0.4828577,0.20654091
1984-12-01,0.75201094,-0.2414288,-0.3287146,1.2949604,0.079591945
1985-01-01,0.61358434,-0.2634803,-0.85768116,2.1789594,0.5308372
1985-02-01,-0.05159986,-0.031147098,-0.3501039,1.445198,0.27511033
1985-03-01,0.8576813,-0.29436007,-0.411596,0.66197586,0.029008294
1985-04-01,0.4803068,-0.17097478,-0.36547697,0.14624424,0.19784416
1985-05-01,0.4142696,0.035157394,-0.71384305,0.021655846,-0.37710696
1985-06-01,0.44060427,-0.5659946,-0.23701195,0.100659944,0.027805138
1985-07-01,0.42282504,0.09651594,-0.36373916,-0.3416822,-0.31106988
1985-08-01,0.57401544,-0.23647723,-0.4237608,-0.6130496,-0.20439439
1985-09-01,0.3212294,-0.3991639,-0.27831858,1.4084364,-0.2317985
1985-10-01,0.19116025,-0.1490515,-0.31655064,0.4583835,-0.026735688
1985-11-01,0.14103079,-0.1638898,-0.4630623,0.6130495,0.022056961
1985-12-01,0.50797826,-0.18928881,-0.7190565,1.8859358,0.055075504
1986-01-01,0.25558114,-0.26957846,-0.32906708,0.7281208,0.38414916
1986-02-01,0.2558403,-0.41642088,-1.0039203,1.5321902,0.7381005
1986-03-01,0.2678936,0.45530242,-0.20140609,0.31325528,0.09966626
1986-04-01,0.70777285,-0.16045098,-0.7369339,0.82791674,0.13634446
1986-05-01,0.17885491,0.030845989,-0.2830573,-0.30172044,0.07296753
1986-06-01,0.44363794,-0.34565657,-0.21812522,-0.37054062,0.088908955
1986-07-01,0.49405423,-0.19518514,-0.5947574,0.0572855,-0.25350723
1986-08-01,0.27502185,-0.42691898,-0.43845373,-0.21864367,-0.4503774
1986-09-01,0.43936095,-0.38324198,-0.5353983,1.2719434,-0.3701519
1986-10-01,0.31740266,-0.46139377,-0.052101184,0.15876618,-0.09733336
1986-11-01,-0.4537471,-0.15176754,-0.45491347,0.76181823,-0.2483232
1986-12-01,0.49120292,-0.089038655,-0.9900528,1.4462621,0.0390111
1987-01-01,0.014996099,-0.14966393,-0.7033308,1.2108219,0.11878081
1987-02-01,0.46977806,-0.28299522,-0.3857407,1.5748849,0.39450076
1987-03-01,0.21395393,0.4963553,-0.35010642,1.168506,0.32709265
1987-04-01,0.30764228,0.0041573523,-0.10749664,0.5030367,0.61483914
1987-05-01,0.6377045,0.017965604,0.2807681,-0.3529274,0.24825172
1987-06-01,0.39346138,-0.22167471,0.012917399,0.05211506,-0.4622059
1987-07-01,0.48818916,-0.18826756,-0.08522525,1.6414022,-0.087897874
1987-08-01,0.53377116,-0.2561211,0.031625368,-0.45166415,-0.5468371
1987-09-01,0.57296896,0.012026548,-0.693086,-0.03771286,-0.24572793
1987-10-01,0.33273473,-0.23073173,-0.13288602,0.44810063,-0.06443858
1987-11-01,0.34654298,-0.031625558,-0.32887435,0.27794704,-0.23088017
1987-12-01,0.18425865,-0.51639956,-0.54312533,-0.3389708,0.103487775
1988-01-01,0.24378625,-0.24297266,-0.5907545,1.0135162,-0.25287062
1988-02-01,0.529469,-0.036472987,-0.8569126,2.6469378,-0.035930682
1988-03-01,-0.08474207,-0.094911195,-0.315512,0.63265103,0.19063595
1988-04-01,0.5931951,0.1206728,-0.94233274,0.1948392,-0.19822884
1988-05-01,0.56024736,0.23388843,-0.67576784,-0.23009185,-0.18209393
1988-06-01,0.18317862,-0.18887332,-0.17558566,0.40011853,0.3334094
1988-07-01,0.50899523,0.24568443,-0.5235031,-0.2493453,-0.4150332
1988-08-01,0.39496627,-0.16229817,-0.026846314,-0.44581145,-0.120401666
1988-09-01,0.25842968,0.0999279,-0.43157488,-0.29910582,-0.06847167
1988-10-01,0.39184776,-0.04135418,-0.118910216,0.49706346,0.19822884
1988-11-01,0.4699461,0.0603364,0.14019737,0.18250075,0.078776315
1988-12-01,0.22100754,0.4097453,-0.5804499,1.9516456,0.71874905
1989-01-01,0.4952677,-0.012268543,-0.39175943,1.902338,0.1262587
1989-02-01,0.44666997,0.20249042,-0.6766754,1.2744986,0.4371411
1989-03-01,0.5279045,-0.03859229,-0.6112828,0.30087695,0.4567946
1989-04-01,0.3612667,-0.15567932,-0.18200314,-0.16556568,0.4768054
1989-05-01,0.63867855,0.3270815,-0.20618287,1.2998693,-0.30814275
1989-06-01,0.59043825,0.16342166,-0.025132561,0.62331307,-0.19748764
1989-07-01,0.49121803,-0.17640488,-0.4099835,-0.16830525,-0.3762749
1989-08-01,0.4260637,0.02965889,-0.3104059,0.24942055,-0.33148867
1989-09-01,0.37186772,0.08421221,-0.123281,0.1206605,-0.3765131
1989-10-01,0.4060529,-0.147818,-0.46918225,0.028110504,-0.365793
1989-11-01,0.25859213,-0.075517036,-0.66285837,-0.44809943,0.24120179
1989-12-01,0.39354607,-0.21356788,-0.83402234,1.9046011,0.5449375
1990-01-01,0.101474,0.10369997,-0.20347175,1.1750036,-0.105271146
1990-02-01,0.22965851,-0.5521496,-0.62429446,0.32209817,0.07162094
1990-03-01,0.70167637,-0.36700857,-0.14153989,1.2437441,0.015450239
1990-04-01,0.79542524,-0.17165479,-0.3198723,-0.11050854,-0.043339252
1990-05-01,0.94207156,0.2820324,-0.15856133,0.016628647,-0.252834
1990-06-01,0.6460294,0.2036027,-0.120590374,0.17401156,-0.32209817
1990-07-01,0.7663579,-0.2360744,-0.501478,-0.43116626,-0.062324714
1990-08-01,0.47385103,0.14743194,-0.31712264,-0.95699805,0.052373696
1990-09-01,0.63372165,-0.09492731,-0.27771145,0.8958519,-0.5156189
1990-10-01,0.15280023,-0.2599044,-0.25702387,-0.42488155,-0.007986975
1990-11-01,0.2637015,-0.046350718,-0.69984335,0.14088516,0.13499317
1990-12-01,0.3972544,-0.29997024,-0.66724074,1.3941875,-0.004713631
1991-01-01,0.7986348,0.03991518,-0.76383275,1.496822,-0.054100037
1991-02-01,0.43890277,-0.39107046,-0.91508186,1.3551391,-0.13228121
1991-03-01,0.24460459,0.24460459,-0.5464431,0.6038419,0.58784276
1991-04-01,0.72672147,-0.2348733,-0.6610758,0.38529766,-0.2589543
1991-05-01,0.565576,-0.167908,-0.44813937,0.13541499,0.040245056
1991-06-01,0.8131496,-0.004618359,-0.19198905,0.32938337,-0.073232934
1991-07-01,0.65216905,-0.34670192,-0.3290534,-0.8575181,-0.3918952
1991-08-01,-0.052285694,-0.060532667,-0.47288027,0.37903,-0.3656699
1991-09-01,0.3709479,-0.20897779,-0.3099205,0.89627874,-0.32624945
1991-10-01,-0.03562684,-0.18357715,-0.52566075,0.41878033,-0.15058938
1991-11-01,0.43214035,0.41020337,-1.1522642,0.38100922,-0.46760225
1991-12-01,0.44137686,-0.9559868,-0.34059912,0.18456678,0.060697556
1992-01-01,0.34768733,-0.56020737,-0.31155342,0.9734707,0.22804423
1992-02-01,-0.13289204,-0.01084013,0.2874643,0.5387947,-0.1370407
1992-03-01,0.2671222,0.19927111,-0.10465412,0.3661556,0.3510329
1992-04-01,0.4614417,-0.00923419,0.2797022,0.24865389,0.49770927
1992-05-01,0.60490614,0.2461112,-0.07855749,0.4415012,0.26698846
1992-06-01,0.48927814,0.20556107,-0.45595473,0.6631217,-0.5130997
1992-07-01,0.32988796,-0.18976922,-0.33109245,0.25320405,-0.40817785
1992-08-01,0.42664617,-0.19953875,-0.6520139,-0.016594792,-0.3716426
1992-09-01,0.17531571,-0.42182836,-0.36976895,0.80926263,-0.5398653
1992-10-01,0.31864637,0.10679541,-0.7525193,-0.21533051,-0.28197727
1992-11-01,-0.2620367,-0.37873548,-0.37632656,0.15952387,-0.089397624
1992-12-01,0.4518059,-0.33831924,-1.091106,0.7125045,0.22322646
1993-01-01,0.28124085,-0.6222587,-0.36179453,0.8071604,-0.2076517
1993-02-01,0.23817849,-0.0836874,-0.88608897,1.7214546,0.00916965
1993-03-01,0.4307409,-0.2011517,-0.30294627,1.729928,0.18385705
1993-04-01,0.47148198,0.011839295,-0.4170445,0.43642825,0.0827589
1993-05-01,0.68400866,0.1500803,-0.15832134,0.36446413,0.21508026
1993-06-01,0.8012408,0.25199097,-0.16366068,0.7509819,-0.3783928
1993-07-01,0.5000355,-0.030062485,-0.4944641,0.8340889,0.025303554
1993-08-01,0.59625876,0.024258947,0.009169626,0.38999993,-0.31443748
1993-09-01,0.43062487,-0.4216873,-0.25117844,1.0433657,-0.071964264
1993-10-01,0.08043747,-0.60786587,-0.04480357,0.31675872,-0.15298209
1993-11-01,0.14764276,-0.13185711,-0.61169624,1.0838747,-0.48633915
1993-12-01,0.19430351,-0.024955368,-0.72231215,0.86357117,0.30596423
1994-01-01,0.69718397,-0.06776061,-0.5312786,1.2941889,0.01932392
