,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1990-07-01,1022.4185,1013.78265,1024.7212,1016.4572,1016.6551
1990-08-01,1019.4632,1013.6245,1022.8381,1017.5304,1015.5042
1990-09-01,1018.4618,1011.81537,1022.3519,1016.8879,1016.12573
1990-10-01,1018.22485,1010.7509,1020.23883,1017.0927,1017.22986
1990-11-01,1017.3349,1011.16766,1017.3262,1018.0948,1020.2989
1990-12-01,1022.02985,1011.8738,1023.50104,1019.5385,1021.3114
1991-01-01,1020.91547,1013.70935,1022.38306,1024.5665,1020.8295
1991-02-01,1019.83936,1013.2342,1024.5194,1019.44446,1020.0681
1991-03-01,1015.68115,1012.4148,1019.235,1014.12366,1013.55743
1991-04-01,1021.122,1012.39655,1022.29944,1017.4032,1015.92194
1991-05-01,1018.23804,1012.5184,1026.1753,1016.86084,1016.28955
1991-06-01,1019.99243,1013.3777,1025.0713,1016.53876,1015.5862
1991-07-01,1020.8363,1013.98596,1023.6225,1015.8809,1015.71765
1991-08-01,1020.825,1014.3547,1021.9888,1015.9572,1016.29865
1991-09-01,1020.483,1012.6083,1021.91077,1017.2029,1018.1743
1991-10-01,1019.0518,1011.6892,1019.0945,1016.7305,1017.7395
1991-11-01,1021.4663,1010.64276,1021.68884,1020.7623,1021.81116
1991-12-01,1018.2625,1011.73474,1019.89624,1024.0573,1022.8975
1992-01-01,1014.7234,1012.65784,1015.01544,1023.47296,1019.4357
1992-02-01,1017.14417,1012.99304,1025.208,1023.2033,1016.5458
1992-03-01,1018.21765,1012.4336,1027.8973,1020.33514,1017.0084
1992-04-01,1017.0332,1011.21674,1024.1168,1016.69806,1016.6166
1992-05-01,1020.511,1011.1323,1021.9663,1016.2064,1016.56525
1992-06-01,1018.56055,1012.98834,1023.8878,1016.2017,1011.5195
1992-07-01,1020.41187,1014.3705,1024.6108,1016.1704,1017.03436
1992-08-01,1024.737,1014.04944,1024.2118,1017.3342,1016.8155
1992-09-01,1019.9875,1011.33,1021.3773,1018.0465,1017.074
1992-10-01,1016.8231,1011.6493,1019.2882,1015.6245,1017.73315
1992-11-01,1020.1439,1010.2312,1021.73376,1024.1138,1018.6715
1992-12-01,1017.57385,1011.61505,1022.8976,1019.1312,1021.3797
1993-01-01,1021.6993,1013.39575,1022.4559,1027.3157,1021.0568
1993-02-01,1017.78235,1012.8801,1024.98,1020.2764,1019.3463
1993-03-01,1020.69025,1013.31976,1020.0428,1018.14655,1017.485
1993-04-01,1017.6733,1011.7859,1023.6808,1016.20306,1014.97076
1993-05-01,1018.6836,1011.4713,1016.6476,1014.1125,1014.65625
1993-06-01,1018.46594,1013.63367,1023.3123,1016.8989,1015.8873
1993-07-01,1017.1828,1013.5178,1025.951,1016.4698,1016.13257
1993-08-01,1020.7368,1013.73914,1023.3669,1016.3606,1016.0731
1993-09-01,1020.83545,1012.32654,1022.4295,1016.64935,1016.3606
1993-10-01,1019.10724,1011.841,1016.99884,1015.58014,1016.90875
1993-11-01,1022.62573,1010.92206,1023.9046,1017.1932,1021.26587
1993-12-01,1017.97546,1011.9121,1028.6228,1024.7317,1019.87787
1994-01-01,1024.7367,1012.7982,1029.613,1023.4821,1022.75214
1994-02-01,1020.9712,1013.4088,1018.1266,1020.0553,1021.3401
1994-03-01,1018.51245,1012.9836,1028.1399,1020.4291,1016.2874
1994-04-01,1022.6068,1012.7431,1022.3953,1017.71704,1018.0066
1994-05-01,1020.492,1012.9309,1022.39417,1015.4079,1015.2782
1994-06-01,1021.16077,1013.83167,1024.3793,1017.30695,1014.6216
1994-07-01,1024.2642,1013.97284,1024.6791,1015.5593,1016.5455
1994-08-01,1023.6584,1013.3616,1022.4716,1015.3934,1016.71326
1994-09-01,1017.29486,1012.42993,1021.729,1015.924,1016.0549
1994-10-01,1014.7548,1010.715,1016.72235,1015.87006,1015.6114
1994-11-01,1019.52167,1011.3069,1016.7333,1021.3516,1019.18665
1994-12-01,1018.16046,1012.1083,1021.83435,1026.3068,1020.6484
1995-01-01,1018.48224,1013.656,1026.191,1027.3436,1018.44366
1995-02-01,1018.0422,1014.17474,1024.0197,1023.9707,1019.4741
1995-03-01,1014.4872,1011.77234,1021.9366,1018.1216,1018.13873
1995-04-01,1014.6169,1010.77563,1019.12305,1015.54596,1014.62787
1995-05-01,1014.45337,1012.4917,1019.2059,1015.81915,1013.883
1995-06-01,1020.873,1013.12286,1020.36945,1014.76587,1014.2278
1995-07-01,1021.7159,1012.5469,1021.6283,1015.0135,1014.88794
1995-08-01,1018.3747,1011.7854,1020.4543,1014.9004,1013.07666
1995-09-01,1018.74164,1012.2993,1023.2685,1017.2297,1015.5295
1995-10-01,1019.1906,1010.4107,1015.38666,1019.14166,1015.8205
