,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1984-04-01,1010.72955,1019.09906,1010.1117,1022.1942,1019.90656
1984-05-01,1013.8762,1018.4522,1010.62115,1021.81885,1014.99524
1984-06-01,1016.3432,1015.8647,1011.837,1025.2642,1021.22034
1984-07-01,1016.7689,1020.65985,1011.61505,1025.1553,1020.3148
1984-08-01,1017.212,1022.1007,1011.9021,1022.47217,1011.8479
1984-09-01,1015.5809,1022.69086,1011.45703,1020.7682,1017.70667
1984-10-01,1015.2707,1019.27966,1011.7157,1024.0659,1016.8656
1984-11-01,1012.65344,1021.65826,1010.2304,1017.77045,1016.2555
1984-12-01,1010.86755,1018.6515,1008.09106,1013.42487,1010.83014
1985-01-01,1010.3356,1019.65454,1009.79175,1016.867,1015.49414
1985-02-01,1006.5385,1015.07367,1006.63025,1016.34106,1015.3613
1985-03-01,1011.1158,1022.20557,1009.0496,1017.9582,1016.7843
1985-04-01,1011.1557,1019.4854,1009.02936,1021.65045,1018.1482
1985-05-01,1013.2225,1018.39124,1009.75604,1017.9612,1020.1864
1985-06-01,1016.46924,1013.4166,1011.9532,1022.17163,1018.7129
1985-07-01,1016.7092,1022.9394,1012.6292,1022.8494,1020.1108
1985-08-01,1017.4651,1024.2098,1012.44104,1028.4125,1015.079
1985-09-01,1015.74194,1021.31335,1012.04913,1025.8579,1018.97437
1985-10-01,1015.3375,1021.5974,1011.5988,1025.4064,1015.96234
1985-11-01,1013.4494,1020.20667,1009.8805,1023.0222,1014.58044
1985-12-01,1011.5173,1021.28656,1009.5761,1017.55383,1012.9938
1986-01-01,1010.62396,1021.21466,1007.5275,1018.68225,1015.09906
1986-02-01,1009.54224,1021.01154,1009.7815,1017.2315,1014.08624
1986-03-01,1010.48663,1022.55786,1009.26056,1021.5217,1017.44165
1986-04-01,1011.66266,1022.099,1010.229,1022.29016,1022.5452
1986-05-01,1014.118,1020.5457,1011.6355,1017.30304,1018.5069
1986-06-01,1015.39014,1020.0488,1010.34357,1018.724,1019.55133
1986-07-01,1018.13916,1023.48456,1012.6584,1022.8934,1016.55804
1986-08-01,1017.14795,1022.8883,1012.2532,1027.2944,1017.14166
1986-09-01,1016.80994,1023.9675,1012.62225,1021.849,1016.5238
1986-10-01,1014.59326,1018.56195,1012.4931,1020.5159,1014.1831
1986-11-01,1012.8362,1018.65625,1010.62396,1021.94775,1016.58276
1986-12-01,1011.26263,1023.25604,1011.1766,1018.74615,1018.0873
1987-01-01,1011.39124,1019.8961,1009.36975,1014.3711,1013.50995
1987-02-01,1011.3117,1020.2728,1010.3221,1019.0006,1017.4079
1987-03-01,1009.6089,1019.7113,1011.694,1017.25745,1019.87646
1987-04-01,1011.43713,1023.9842,1011.5955,1020.49786,1018.5896
1987-05-01,1012.98944,1024.342,1012.08545,1017.30945,1021.753
1987-06-01,1016.15533,1016.0415,1012.2775,1021.2148,1017.3437
1987-07-01,1016.6898,1021.99274,1013.6537,1024.369,1019.1272
1987-08-01,1016.9002,1026.9226,1013.6225,1026.961,1023.94025
1987-09-01,1015.9296,1022.93164,1013.1118,1022.3683,1021.6857
1987-10-01,1014.332,1021.753,1012.1967,1020.44037,1016.8807
1987-11-01,1013.1845,1022.5206,1010.37164,1022.62335,1014.2097
1987-12-01,1012.7864,1020.4135,1009.7826,1017.4226,1014.90875
1988-01-01,1009.92365,1021.2139,1009.1051,1017.0574,1016.0298
1988-02-01,1010.0989,1018.0076,1009.3352,1021.0115,1019.8859
1988-03-01,1009.9387,1018.1013,1007.91736,1018.92236,1019.0963
1988-04-01,1011.2902,1023.5023,1010.76764,1019.8111,1019.33014
1988-05-01,1014.1696,1016.6454,1010.442,1021.76306,1012.0382
1988-06-01,1015.7452,1011.2389,1012.4037,1019.20264,1016.6864
1988-07-01,1015.85693,1020.7946,1012.29913,1022.60345,1017.70435
1988-08-01,1015.69025,1017.55756,1012.1735,1019.0251,1018.2651
1988-09-01,1014.86914,1013.1431,1010.87335,1018.31335,1012.3867
1988-10-01,1013.71344,1018.26385,1009.9352,1020.2249,1012.68524
1988-11-01,1013.68805,1026.4294,1009.1032,1021.02655,1016.8707
1988-12-01,1011.9004,1025.7667,1009.1878,1016.6496,1015.97174
1989-01-01,1008.6822,1018.08026,1007.8951,1016.1514,1015.7459
