,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8
1978-04-01,0.74132466,-0.00407002,-0.17605734,-0.1293103,-0.010698343,-0.17791793,0.34130007,1.136
1978-05-01,1.0950675,-0.31897312,0.02360611,0.3708368,-0.13163602,0.31280997,-0.07791176,0.55073154
1978-06-01,0.26652804,0.14152035,0.112332486,0.25734144,0.7609771,-0.050584506,-0.2950182,0.47072664
1978-07-01,-0.09430814,-0.3009488,0.047328472,0.27501693,-0.17966223,-0.0675623,0.24373594,-0.016047478
1978-08-01,-0.023489809,0.34792843,0.11430937,0.11547221,-0.13326402,0.045700453,0.40723434,-0.11419308
1978-09-01,0.06360855,0.25292253,-0.023722392,0.24152648,-0.15466066,-0.08372607,0.30746078,0.24896884
1978-10-01,0.2997859,0.07674892,-0.1409389,0.07884206,-0.15256754,-0.025699252,-0.1755922,0.5970135
1978-11-01,1.4586945,-0.13117084,-0.033722974,-0.22082753,0.12058884,0.07826064,-0.46654034,0.8712164
1978-12-01,0.5371261,0.0070934296,-0.17152223,0.09314527,0.22675815,-0.22175784,-0.08407493,1.2360064
1979-01-01,0.8917552,0.077039555,-0.23245725,-0.0087747695,-0.110800125,-0.28317243,0.13548847,0.13385257
1979-02-01,0.8011816,0.13162164,-0.2998296,0.21877448,-0.08953247,-0.2598226,0.12909324,0.9738514
1979-03-01,1.2350124,-0.08462453,-0.019185543,-0.030786086,-0.24152938,-0.080460235,-0.13831425,0.27305907
1979-04-01,0.5618831,-0.01710338,-0.19795303,-0.2538736,0.2369189,-0.22442603,-0.28242877,0.83241385
1979-05-01,0.9635893,-0.11169247,-0.21907194,0.44885206,-0.2723155,-0.052351188,0.17638788,0.1969119
1979-06-01,0.508937,0.28689054,0.09890211,0.22085662,0.39694703,-0.121805765,-0.041791726,0.6728319
1979-07-01,0.15244314,0.029893732,0.094440386,0.14917119,-0.13623211,-0.17296715,0.7821447,-0.4524215
1979-08-01,0.1017279,0.3181228,0.19140908,0.12567264,-0.17445445,-0.060531043,0.03346319,-0.30696845
1979-09-01,0.6436818,0.116005495,-0.049822878,0.29640895,0.05190506,-0.055176925,0.13697574,-0.08685541
1979-10-01,0.4421594,0.07584975,-0.057407856,-0.100686826,0.1824856,-0.01531868,0.19825049,0.6668829
1979-11-01,0.61349064,-0.337457,-0.27945432,0.29120356,-0.22903652,-0.24376027,0.5676834,-0.1839728
1979-12-01,1.1048782,0.14604798,-0.21550253,-0.16493604,0.1656797,0.13266271,-0.2282929,0.5733349
1980-01-01,1.3490416,-0.12692742,-0.27177557,-0.27716526,0.04001851,-0.0043117525,-0.18621409,1.0338789
1980-02-01,1.372352,-0.09741883,-0.17354827,-0.39452595,0.19052584,0.21599218,-0.4804917,0.7808326
1980-03-01,0.99197406,-0.090546936,-0.2383594,-0.071548246,0.13420351,0.022501994,-0.035841487,0.73717594
1980-04-01,0.6145604,-0.21262363,-0.3289064,0.049854714,0.14713877,-0.0053896904,0.14040165,0.71939003
1980-05-01,0.84577847,-0.07788114,-0.10429068,0.09849675,-0.18311502,-0.19133432,0.14296179,0.37431455
1980-06-01,0.123828314,0.54907554,0.12840958,0.25398955,0.23485613,-0.06063404,-0.1563013,0.12463679
