,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8
1989-04-01,-1.7937077774509226e-05,3.609689028853827e-06,-3.669171616950605e-05,0.00891151576070115,0.019509905541781336,1.5646073734387755e-05,-1.3535552567097908e-05,0.028066057711839676
1989-05-01,-1.8663192169993255e-06,1.0009604599605689e-06,-2.4881937861209735e-05,0.002701019184314646,0.013583882537204772,-9.92869502169924e-07,-2.3064990856278782e-05,0.007736713450867683
1989-06-01,4.892715582553687e-06,1.0086296242661774e-07,-1.2649894155661709e-05,0.0012893839084426872,0.008831685408949852,-2.0700642077523906e-05,-9.776528177332157e-06,0.0024115775886457413
1989-07-01,2.8877881832581914e-06,1.452181259607048e-06,-3.1646050047129393e-06,9.584472309143166e-05,0.0017458107322454453,-7.5848076145727345e-06,1.0733568791611339e-07,-0.001068974961526692
1989-08-01,3.3265720514125775e-06,-9.641733054004744e-08,-5.655608999534577e-06,0.0004948556579620345,0.0021221138013061136,-9.48110937315505e-06,1.1750476967510901e-06,-0.0014263132470659912
1989-09-01,-5.079047053736441e-07,1.3942781832613942e-07,-1.5110833503838097e-05,0.0016287551261484623,0.003470615774858743,-1.5795056545660678e-05,-2.904101702136895e-06,0.0005410423909779638
1989-10-01,-3.6184312807034625e-06,1.0366682362838398e-06,-8.266443468788306e-06,0.002131823384843301,0.008198857540264726,-1.2588937655285312e-05,-2.9937477964454163e-05,0.007441260822815821
1989-11-01,-1.1837777873192546e-05,3.4133050238544925e-06,-2.8183408825758048e-05,0.006523937918245792,0.015441441792063415,4.5258226085328115e-06,-3.5826008407196074e-05,0.020646798657253385
1989-12-01,-1.4281223166319758e-05,-3.198415116256404e-07,-9.014651628344186e-06,0.005902838165638968,0.013134714390616864,9.660475370765198e-06,-2.5736429238466558e-06,0.020142733410466462
1990-01-01,-1.8503458197174466e-05,7.213548577894613e-06,-7.256617599133668e-05,0.005018942829337902,0.024196304730139673,2.04659469697314e-05,-3.88954107713802e-05,0.02756211906671524
1990-02-01,-1.385521373290536e-05,-6.684501500556965e-07,-1.2087745874721025e-05,0.0074928742833435535,0.015635071031283587,1.8488341690196346e-05,-3.2704128198719656e-05,0.024073774693533778
1990-03-01,-1.53238002091056e-05,1.6775295521283571e-06,5.851113330988613e-06,0.006537851004395634,0.014965742593631148,1.2682289707299788e-05,-4.55827364184631e-05,0.01868664112407714
1990-04-01,-1.270468284167501e-05,4.140311655995205e-06,-2.016294534509403e-05,0.005549487832468003,0.017616382683627307,1.0169827646677732e-06,-3.4154919166422376e-05,0.020742136985063553
1990-05-01,2.988503088407776e-06,-3.8103934059903855e-07,-1.3992270656412335e-06,0.002124285492755007,0.006455354014178738,-1.6133916081647236e-05,-1.6306468098310943e-05,0.008801754302112386
1990-06-01,5.190094968785943e-06,-3.2191950279133936e-06,1.5248076579155168e-06,0.001578736919327639,0.00224100258492399,-1.2117376779012073e-05,-2.496721243425362e-06,0.0022785116016166285
1990-07-01,3.1216401577355924e-06,1.2659539949932431e-08,4.712897602335683e-06,-0.0006338808361761039,-0.00039796832425054163,-1.1233998217600554e-05,-2.7666770526990054e-06,-0.004158043157076463
1990-08-01,5.937411430729066e-06,-2.3535547174498005e-06,6.578922295830125e-08,5.503552529262379e-05,-0.001917502231663093,-1.8205202347113907e-05,-1.93217295838202e-06,-0.0019191691535525024
1990-09-01,-4.216804765831533e-07,-1.1958837848135386e-06,3.0909674819668e-07,0.0019086082829744555,0.002654435775184538,-1.5010415760722633e-05,5.601131283000517e-06,0.0028986612960579805
1990-10-01,-5.936518856858954e-06,1.8508796507419816e-06,-1.3971483505364243e-05,0.004126644125790335,0.010413810377940536,-5.853515953428239e-07,-3.8437109395043735e-05,0.011928342428291216
1990-11-01,-9.513437256574371e-06,4.9358680815224904e-08,-3.296941161222224e-05,0.004553413964458741,0.013476217282004654,5.166215260032914e-06,-2.4082999936161705e-05,0.01754720142344013
1990-12-01,-1.7364907254760026e-05,2.7637015475879244e-06,-2.849872284319385e-05,0.005564491584664211,0.015031594375614077,1.7305067861646727e-05,-3.502688671757754e-05,0.02248339296784252
1991-01-01,-2.139474396921456e-05,3.604359583917897e-06,-1.6089017143323353e-05,0.008996362885227427,0.021571401157416403,2.0209943916900862e-05,-4.746361343840806e-05,0.031074180151335895
1991-02-01,-2.148345777450866e-05,2.9339772086241067e-06,-2.9105134931991677e-05,0.009011603833641857,0.019201582472305745,2.4020170409736846e-05,-1.8598238500253035e-05,0.029925417038612068
1991-03-01,-1.6052306522777695e-05,3.04998956337018e-06,-2.8956170094066434e-05,0.005985320603940636,0.01723501191008836,1.5005177071240421e-05,-2.282258020176624e-05,0.021579240274149925
1991-04-01,-1.3018842405154976e-05,4.595340977469599e-06,-2.2357388453591352e-05,0.006877376290503889,0.015983477351255715,9.759405656950548e-06,-3.292158604987586e-05,0.020793658040929586
1991-05-01,-8.833760232867694e-06,4.954415204109412e-06,-3.33520672159336e-05,0.0041946765122702345,0.014623947208747268,2.0019192940405146e-06,-3.5491465939393936e-05,0.015207473188638687
1991-06-01,5.334366209734621e-06,3.4083313948940486e-07,-1.0202115195819976e-05,0.001548120599181857,0.003693702819873579,-1.1381059721315978e-05,-1.91036458720471e-05,0.003262589598307386
1991-07-01,7.113430910976604e-06,-1.4629849257523788e-06,-6.11800260230666e-06,0.0007131107395252911,0.001516363408882171,-1.7709746013376087e-05,-9.688757274535676e-06,-0.0006574919098056853
1991-08-01,6.251841198739617e-06,-3.418955191613306e-06,4.831869659938093e-07,0.000661507965560304,-0.0004345325578469783,-1.628865751020688e-05,-3.140386458000695e-07,-0.0015275567420758307
1991-09-01,-1.1671965884763564e-06,-6.430877823606602e-07,-5.840243570024281e-06,0.0017297104932367802,0.003090144309680909,-1.246002284460701e-05,-2.2608292172849474e-06,0.0039915626985020936
1991-10-01,-5.617493496724502e-06,3.3782085014928397e-06,-2.7714127749537253e-05,0.004590516982716508,0.012158327444922179,3.0241335480241105e-06,-3.192044926272968e-05,0.012123490159865469
1991-11-01,-1.527661223981129e-05,3.314469635544462e-06,-2.3950698440395562e-05,0.0066890366724692285,0.016978084750007838,7.178485551169919e-06,-2.4910504856588654e-05,0.0219154215301387
1991-12-01,-1.3994457371746796e-05,4.90008501319771e-06,-2.5773123135357832e-05,0.004945422915625386,0.018701667431741953,6.590102354190701e-06,-5.557712239141647e-05,0.017672221292741597
1992-01-01,-1.2878888091383784e-05,-5.573678343878641e-07,-4.903960611305333e-05,0.005277939635561779,0.023561969283036888,2.2939075279282406e-05,-2.8750636351432124e-05,0.016331463120877743
1992-02-01,-2.0940182747476368e-05,3.3745771600909442e-06,-2.3048443316448746e-05,0.009877205593511462,0.023152519133873284,2.4060461025025386e-05,-5.0945098523814704e-05,0.03461888409219682
1992-03-01,-2.3198722479973248e-05,4.568875362407514e-06,-6.215982596456473e-05,0.01000762204057537,0.023109689936973155,3.0951759981689975e-05,-3.928657511446195e-05,0.03692740574479103
1992-04-01,-1.0992496670020723e-05,1.0762827212297154e-06,-2.9202913408101138e-05,0.005050513573223725,0.01315692497882992,1.172413779689426e-05,-2.3595608721594683e-05,0.018375294166617095
1992-05-01,-8.099700713754891e-06,4.853802897333388e-06,-1.005505639893402e-05,0.0040808496123645455,0.010457798634888604,-2.9690219586579287e-06,-3.46489823408401e-05,0.014260219177231193
1992-06-01,5.7343223213751495e-06,-8.645182826436365e-08,-1.3142659684360427e-05,0.0021545840354519896,0.00919260855880566,-1.5332466318795923e-05,-2.0605525955593643e-05,0.006882376328576356
1992-07-01,1.9994479581053086e-06,-2.175087383657664e-06,7.692085221476321e-06,0.0004356144927442074,-0.00019308936316519976,-9.493060891448598e-06,4.438065085802615e-06,-0.0008072667696978897
1992-08-01,5.077630132375838e-06,8.77726889174194e-08,-5.707569081485937e-06,-0.00023638351649424294,-0.0016364494513254613,-1.598790731804911e-05,-3.21126808791096e-06,-0.0025161716621369123
1992-09-01,-9.153042313745002e-07,6.343316238212401e-07,-8.475829937586762e-06,0.0010532184205658268,0.0018250459106639028,-1.5711962078057695e-05,-1.1788359462372728e-06,0.0016314559616148472
1992-10-01,-6.409124030459532e-06,1.207339150544716e-06,-2.2090815556501707e-05,0.0037726898881373927,0.012132439587730914,-1.7719853910117915e-06,-1.3685201758142703e-05,0.012325172428973019
1992-11-01,-9.404576028532045e-06,3.334969482740142e-06,-2.8561259698887757e-05,0.00404101811000146,0.01646337768761441,-1.9057487558408563e-06,-3.2307241035129824e-05,0.009616622264729813
1992-12-01,-1.560571501275178e-05,3.9688219369631704e-06,-2.8831072995672006e-05,0.005342826261767186,0.018258797354064882,6.065606612537522e-06,-2.7590184076987684e-05,0.021080419537611306
1993-01-01,-2.1227494238870393e-05,5.4989913588722275e-06,-5.081852058148278e-05,0.009251539449905977,0.025895042927004397,2.7772227137271937e-05,-4.3484513485171374e-05,0.042979695717804134
1993-02-01,-9.47118911257306e-06,6.357481992610244e-07,-3.6810111591226556e-05,0.004477633046917617,0.018171595002058893,5.474059510864512e-06,-3.6743434369176e-05,0.014188981731422246
1993-03-01,-1.7693074094199273e-05,3.1733519083268577e-06,-1.4110475084245472e-05,0.008649494702694938,0.01811211259337142,1.9274267894312896e-05,-4.15043289719436e-05,0.028060487238690257
1993-04-01,-1.1252405932091912e-05,8.031867525030017e-07,-6.808225927151008e-06,0.004138232907280326,0.011086169979535043,-1.1958884253241802e-06,-1.403016843444978e-05,0.013677604147233069
1993-05-01,-2.879466306736969e-06,1.9759344914762518e-06,-2.2432172305083702e-05,0.0021248592020128854,0.012872637307737023,-1.4524424235181263e-05,-2.4256967616309292e-05,0.01096624109777622
1993-06-01,4.534597284746692e-06,4.96230112224215e-08,-2.029778443102259e-06,0.0013911317182646599,0.006355198274832219,-1.4093396506117037e-05,-1.5864726521659832e-05,0.0036841316614300013
1993-07-01,3.3429934541514785e-06,2.8295966341807845e-07,-3.2964989519054403e-06,0.0004304976755520329,0.0009516617865301669,-1.0725811231774667e-05,9.827561032766541e-07,0.0003424211172387004
1993-08-01,2.5205223252225213e-06,-1.7661583642021758e-06,-6.428869190650793e-06,0.0005470690666697919,0.0021049025235697627,-1.3660201148013584e-05,3.5282485628275213e-06,2.0051083993166685e-05
1993-09-01,-3.392168458271874e-09,-3.1467954373990274e-06,-1.6961022148669665e-06,0.0006866668627480976,0.0029578397516161203,-9.073398814507527e-06,4.069940692156356e-06,-0.0004021007043775171
1993-10-01,-5.925938049311002e-06,9.858757823417771e-07,-3.914731288594859e-05,0.0053262527217157185,0.012491742381826043,-1.357282168138833e-07,-2.070817525889605e-05,0.014285884390119463
1993-11-01,-1.2474054021241014e-05,5.19828940079475e-06,-4.495911395809214e-05,0.0038887799746589735,0.01708551571937278,-6.2421308181607555e-06,-3.239982992780801e-05,0.01808716478990391
1993-12-01,-1.4931875675968111e-05,3.95742071288656e-06,-4.305647962610237e-05,0.0065867105149663985,0.01812458212953061,1.6995454643620178e-06,-2.147662132465018e-05,0.025353924138471484
1994-01-01,-2.0582651919793597e-05,3.805411301574075e-06,-3.2870962708589756e-05,0.0068103203375358135,0.01929574937094003,2.0586703612934798e-05,-2.8585322863177564e-05,0.026777564198710024
1994-02-01,-2.3890221877250995e-05,4.076278951374205e-06,-1.695847848688053e-05,0.01006038801278919,0.019607310241553932,2.3483022838869754e-05,-4.6938881636239014e-05,0.03410272765904665
1994-03-01,-1.7532081898913697e-05,5.519967193115422e-06,-4.110688158626935e-05,0.006012924495735206,0.021121601457707584,1.1273042067235414e-05,-3.092042718960259e-05,0.021981440659146756
1994-04-01,-1.5042673281683631e-05,3.813328500606174e-06,-1.005858783693319e-05,0.006086245412006974,0.012655497994273901,8.997012628242373e-06,-1.9518817377199106e-05,0.017236662097275257
1994-05-01,-3.94485025110974e-06,2.5846954437027113e-06,-1.1976708265137859e-05,0.003432320590945892,0.00968870590440929,5.188648325808269e-07,-4.761321832073661e-05,0.010948874114546925
1994-06-01,6.504494596684222e-06,-5.592567335380643e-07,-5.314161951121475e-06,0.000632623050478287,0.003298225055914372,-1.3820555674707673e-05,-4.635345563796223e-06,0.0009737013897392899
1994-07-01,6.245977601793129e-06,-3.900010629811863e-06,1.0012456966381122e-05,-0.001446263377147261,-0.0025213514163624495,-1.941748602500108e-05,4.119554502652206e-06,-0.003912931788363494
1994-08-01,4.693358045356987e-06,-3.5317451967599855e-06,6.744118244179325e-06,-0.0008179195901902858,-0.0026031579182017595,-2.064911010772145e-05,2.747424040978494e-06,-0.004501242801779881
1994-09-01,8.021248368359645e-08,-7.386916308179477e-07,-2.3221286288129965e-05,0.0010161998034163844,0.004609740062733181,-1.6685644747364374e-06,-3.44401302917947e-06,0.0023148062609834597
1994-10-01,-9.026115189636732e-06,6.674217947439464e-07,-3.0243627406889576e-05,0.005685480573447421,0.011516298400238156,6.142086022009607e-06,-1.8187389426972142e-05,0.01459100458305329
1994-11-01,-1.2035394151056143e-05,3.50879080308473e-06,8.08387669946699e-06,0.002628179754537996,0.009320577373728156,-9.660786114788305e-06,-4.502900339549598e-05,0.007444249058607966
