,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11
1976-07-01,1018.4282,1009.70685,1017.2442,1023.8345,1018.4732,1013.95685,1024.1033,1013.51166,1023.48413,1022.1096,1025.7245
1976-08-01,1022.7972,1009.85486,1016.44257,1021.35486,1018.5066,1014.0037,1019.9624,1015.401,1023.45276,1020.1326,1025.6449
1976-09-01,1016.25885,1010.1638,1015.85736,1018.93884,1017.23865,1011.7486,1018.0675,1015.4775,1023.99475,1018.1711,1021.9752
1976-10-01,1018.0989,1009.56256,1014.84235,1019.12256,1017.1474,1012.4048,1011.2972,1013.474,1024.8501,1022.3915,1023.8437
1976-11-01,1019.64056,1008.8356,1014.70795,1017.8054,1018.4621,1012.7056,1008.6407,1018.21545,1019.62946,1020.7518,1020.43915
1976-12-01,1015.22833,1009.3554,1014.5069,1013.5209,1017.66174,1009.6033,1008.24786,1018.1655,1015.8654,1021.2568,1018.08167
1977-01-01,1016.5422,1009.1758,1015.0096,1002.7608,1016.918,1013.7582,1008.4721,1019.39294,1018.42694,1018.0066,1019.2072
1977-02-01,1022.1401,1009.599,1015.565,1013.6225,1017.7748,1015.4314,1009.7597,1020.5838,1017.8973,1018.17847,1021.06616
1977-03-01,1016.45654,1010.4265,1015.0451,1022.4164,1014.9024,1014.52655,1011.909,1021.41626,1021.87354,1020.0201,1020.59985
1977-04-01,1013.4471,1009.00037,1015.80164,1025.3842,1017.9029,1012.70654,1018.7033,1014.8043,1021.3842,1020.9868,1017.7671
1977-05-01,1013.60236,1008.9489,1015.6576,1021.3028,1015.8427,1012.2472,1016.24854,1012.17755,1020.39526,1022.6252,1022.35236
1977-06-01,1019.48627,1008.77765,1016.7551,1019.4139,1017.266,1015.1579,1021.90765,1012.5973,1020.9841,1023.269,1022.5486
1977-07-01,1024.78,1008.0253,1016.6013,1022.0865,1019.09717,1015.5873,1023.9866,1012.46014,1021.68,1026.4128,1023.42975
1977-08-01,1022.46375,1009.26624,1016.2123,1018.67126,1017.44354,1016.1287,1020.42096,1012.4964,1020.6827,1024.5774,1020.84344
1977-09-01,1016.6549,1009.2447,1016.0835,1017.4811,1016.7913,1009.42633,1018.7352,1016.11273,1023.66986,1019.8273,1026.4198
1977-10-01,1019.31085,1010.37915,1015.517,1020.4579,1017.84576,1016.5422,1018.04346,1019.89825,1019.50085,1021.8283,1024.5371
1977-11-01,1021.29376,1009.8815,1014.82104,1016.79626,1017.511,1017.2528,1012.5889,1018.48126,1022.22217,1016.6487,1022.7686
1977-12-01,1018.75757,1009.9984,1015.675,1014.55237,1017.6878,1016.5324,1010.3736,1021.35986,1019.7911,1017.289,1020.08276
1978-01-01,1022.87335,1009.98065,1016.72687,1011.07837,1018.6071,1019.7955,1009.3681,1019.978,1020.2834,1028.4879,1022.2522
1978-02-01,1019.8474,1011.22235,1015.59515,1009.974,1016.8716,1013.4411,1011.35626,1016.0811,1020.30396,1008.0325,1021.73096
1978-03-01,1018.9716,1009.2381,1016.01904,1017.46936,1017.2854,1018.1732,1013.66833,1016.1531,1017.4967,1025.1334,1020.64655
1978-04-01,1015.8071,1009.3155,1015.26666,1020.8332,1015.3519,1011.9041,1016.49963,1011.87946,1023.3172,1018.69904,1022.37946
1978-05-01,1016.2804,1007.47797,1015.6132,1023.9557,1014.67346,1016.27966,1017.21545,1012.9805,1021.6516,1023.58044,1020.34326
1978-06-01,1021.0071,1008.29834,1016.88556,1023.91437,1017.8259,1010.86304,1015.5145,1014.1409,1022.7654,1027.3242,1021.7216
1978-07-01,1015.9764,1008.37775,1016.1424,1020.7439,1017.2848,1011.32764,1016.5876,1014.20026,1024.0077,1023.69244,1026.2465
1978-08-01,1021.3091,1008.6637,1016.59033,1020.234,1017.8586,1017.4941,1021.39966,1015.09735,1024.8035,1020.3773,1027.3575
1978-09-01,1022.0476,1009.3861,1015.62384,1019.5888,1015.86975,1017.784,1015.5385,1016.1864,1024.8489,1020.7825,1025.684
1978-10-01,1017.1428,1009.32886,1015.056,1019.94745,1017.9412,1017.62134,1018.2085,1015.85516,1024.2764,1015.44257,1022.77405
1978-11-01,1019.6708,1010.2532,1014.66077,1017.7593,1017.8806,1017.58936,1014.2422,1022.45416,1021.74695,1022.26544,1023.48914
1978-12-01,1019.34686,1009.9119,1015.7631,1022.8247,1017.82196,1014.3122,1008.553,1019.4395,1019.2796,1014.8981,1020.7272
1979-01-01,1017.7739,1010.7938,1015.8424,1016.4612,1017.7727,1015.581,1008.84265,1019.12775,1022.15967,1015.42365,1021.1188
1979-02-01,1020.8007,1009.7905,1015.8817,1020.7857,1017.96936,1014.97675,1011.5994,1014.79047,1020.4468,1010.98584,1020.06915
1979-03-01,1019.63947,1009.44415,1015.7082,1015.0831,1016.2894,1018.46674,1011.90186,1015.8979,1023.1133,1022.5946,1020.2658
1979-04-01,1014.4192,1009.0994,1015.3167,1022.9994,1014.8182,1012.5554,1016.52826,1013.2782,1019.7545,1016.9643,1016.73065
1979-05-01,1013.2042,1009.10815,1015.7383,1021.60046,1015.2982,1016.6983,1021.0106,1014.6118,1023.0369,1022.98553,1021.49695
1979-06-01,1021.77856,1009.0376,1016.7324,1024.5724,1017.82764,1021.6936,1022.1614,1013.8039,1021.0586,1022.6611,1021.9197
1979-07-01,1015.3688,1010.2774,1017.2974,1022.2262,1017.70624,1015.0426,1023.6985,1015.58276,1025.0524,1026.9347,1024.9962
1979-08-01,1012.3229,1009.18445,1015.8979,1018.45685,1017.3245,1012.3657,1019.35034,1012.9191,1028.6881,1022.96704,1022.52057
1979-09-01,1020.9395,1009.8732,1015.4908,1019.07794,1014.95703,1018.0359,1018.02203,1015.503,1026.4484,1020.52075,1023.36664
1979-10-01,1020.7059,1010.59784,1015.3242,1017.6507,1016.4855,1018.4771,1013.9618,1015.7053,1021.2171,1020.9707,1023.0543
1979-11-01,1017.1158,1009.20703,1014.21564,1023.0254,1017.84155,1019.9269,1012.0383,1017.9121,1018.58813,1016.7017,1020.5804
1979-12-01,1017.6287,1011.0414,1015.7024,1016.334,1019.06,1015.37396,1010.4377,1022.01514,1019.8488,1021.0424,1019.6777
1980-01-01,1018.46375,1009.52594,1016.06976,1004.0239,1017.15625,1014.6515,1006.9787,1019.8613,1019.6725,1014.7026,1021.6774
