,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9
1982-12-01,-0.03155486,-0.10892604,-0.07895882,0.50552624,-0.7218601,-0.21035996,-0.031787723,0.10731209,0.06449102
1983-01-01,-0.064481266,-0.11657298,-0.097283825,0.5551657,-0.83241594,-0.2997518,-0.07554147,0.15852034,-0.027739007
1983-02-01,0.06509329,-0.08250199,-0.079701565,0.53407854,-0.6369764,-0.29599935,-0.09029956,0.07946057,-0.117092386
1983-03-01,-0.007652636,-0.078414276,-0.08884056,0.33441594,-0.5175513,-0.18816856,-0.08528039,-0.0012930424,0.026073737
1983-04-01,0.00675251,-0.08148897,-0.1407041,0.33550963,-0.3987367,-0.13957515,-0.026516054,0.054209415,-0.0044472897
1983-05-01,0.105636574,-0.022169346,-0.14803387,0.456614,-0.4822576,-0.10804521,0.030560205,0.015031166,-0.041666467
1983-06-01,-0.020404829,0.043856543,-0.22617595,0.24697623,-0.32557374,-0.03215667,0.089382164,0.13675313,-0.05662302
1983-07-01,0.09805567,0.018950976,-0.25279823,0.31770024,-0.48870125,-0.00631179,0.1594831,0.14354523,-0.07058024
1983-08-01,-0.03858345,0.049932122,-0.32461658,0.39588603,-0.16222742,0.018113494,0.18273489,0.22268699,-0.060000677
1983-09-01,-0.020870036,0.06792991,-0.33415908,0.46702188,-0.4743857,-0.056296866,0.17665753,0.22801936,-0.0036640742
1983-10-01,-0.08637116,0.047498967,-0.28568745,0.36189196,-0.4598169,-0.15628247,0.11820751,0.183092,0.039884746
1983-11-01,-0.077381015,0.035482466,-0.22234866,0.552038,-0.59060955,-0.19682711,0.030042911,0.2139893,-0.033491414
1983-12-01,-0.18992148,0.06485235,-0.1770384,0.565732,-0.70652026,-0.3159733,-0.002810469,0.19687001,-0.020121284
1984-01-01,-0.0864358,0.06769027,-0.083287634,0.5946213,-0.83397216,-0.24517483,0.022534413,0.15840946,-0.045378286
1984-02-01,-0.11152382,0.11282571,-0.048977442,0.46026057,-0.5565165,-0.24921565,-0.04341172,0.13001703,-0.10230407
1984-03-01,-0.22606526,0.09371418,-0.031167427,0.38631302,-0.5350704,-0.24091099,-0.08431995,0.10506459,-0.02597785
1984-04-01,0.0030594035,0.00052428525,-0.110198915,0.4845646,-0.4867033,-0.15123004,0.0064440165,0.1091303,-0.11593531
1984-05-01,0.072647825,-0.027639104,-0.24842788,0.39767528,-0.40682223,-0.058524143,0.107441135,0.07388346,-0.08335418
1984-06-01,-0.04606877,0.0393895,-0.27831987,0.29825664,-0.38997695,-0.09817307,0.1304497,0.16662805,-0.06082252
1984-07-01,-0.031579763,-0.006249525,-0.31733176,0.3403761,-0.27606106,-0.07942623,0.16012962,0.104125164,0.04662423
1984-08-01,-0.06535074,0.09701022,-0.4074584,0.34039897,-0.2985368,-0.043256287,0.1873708,0.21738546,-0.0025180143
1984-09-01,-0.07262373,0.06490746,-0.31390595,0.37557146,-0.10128623,0.005089406,0.13314676,0.23012915,-0.08844662
1984-10-01,-0.08521925,0.08582888,-0.3787049,0.65010065,-0.46797404,-0.15420847,0.099842206,0.24687548,-0.077861674
1984-11-01,-0.1017563,0.11795532,-0.20285319,0.38393056,-0.6070336,-0.27655533,-0.012047656,0.19404796,-0.009257034
1984-12-01,-0.17674859,0.06697792,-0.16304737,0.38360274,-0.84255266,-0.29086664,-0.06660753,0.211429,0.04751458
1985-01-01,-0.19067071,0.09796898,-0.1295134,0.5400864,-0.9904527,-0.26198286,-0.024881978,0.1559071,-0.031854063
1985-02-01,0.0066328603,0.101679415,-0.09327348,0.45529538,-0.74702895,-0.2762072,-0.030203044,0.13602087,-0.13157775
1985-03-01,0.056120623,0.14277567,-0.042505696,0.28262833,-0.65239,-0.29254737,-0.08936727,0.103659324,-0.24188478
