,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6
1989-01-01,1018.685,1025.786,1007.08875,1013.4676,1018.5822,1014.646
1989-02-01,1017.6291,1023.7453,1008.40436,1013.11584,1017.572,1014.5834
1989-03-01,1014.8092,1019.8007,1008.7483,1010.5868,1013.8295,1013.5291
1989-04-01,1017.6206,1012.3953,1007.22205,1019.3005,1013.73413,1011.63196
1989-05-01,1018.84534,1010.78326,1008.7455,1017.34955,1012.2457,1011.9267
1989-06-01,1016.77704,1006.76807,1010.0182,1015.5083,1011.2096,1010.4981
1989-07-01,1017.4919,1005.55914,1009.4066,1019.1531,1013.70306,1008.4518
1989-08-01,1015.1175,1005.5998,1009.57495,1019.48846,1009.0176,1006.69244
1989-09-01,1016.95825,1010.72174,1009.7567,1018.0407,1013.54156,1009.4168
1989-10-01,1017.192,1019.0644,1008.87305,1020.29083,1015.7606,1009.4693
1989-11-01,1018.3948,1025.2524,1008.0165,1023.1423,1019.25977,1013.30273
1989-12-01,1014.8538,1024.7798,1009.0261,1005.4914,1015.8363,1014.2338
1990-01-01,1018.9625,1026.3448,1007.92523,1012.99365,1018.135,1016.5039
1990-02-01,1021.909,1024.0513,1010.706,1022.6286,1022.19385,1018.06146
1990-03-01,1017.61383,1019.73224,1009.26227,1010.33716,1015.49896,1016.2489
1990-04-01,1016.76416,1013.23065,1008.89575,1016.6457,1014.4182,1013.31464
1990-05-01,1018.42096,1010.5602,1008.7685,1016.159,1014.4561,1011.74133
1990-06-01,1016.31366,1004.54517,1008.9786,1013.6735,1011.17114,1010.94116
1990-07-01,1015.86255,1003.9336,1009.4601,1019.3675,1010.081,1008.3349
1990-08-01,1014.90076,1003.8332,1009.60657,1015.68805,1009.948,1005.8728
1990-09-01,1018.4204,1011.20557,1010.03204,1017.8391,1014.633,1009.34924
1990-10-01,1017.9751,1019.8723,1009.98883,1020.3911,1016.1024,1011.4565
1990-11-01,1016.39124,1021.93994,1007.63525,1019.8677,1018.3176,1012.28345
1990-12-01,1017.4586,1025.9526,1008.49133,1012.5549,1015.64484,1015.4213
1991-01-01,1014.25916,1026.2544,1008.71185,1002.53925,1013.6371,1016.74304
1991-02-01,1014.1942,1023.1183,1009.51935,1002.5142,1013.0954,1017.3508
1991-03-01,1019.9122,1019.68225,1008.6715,1019.01025,1017.86017,1016.09265
1991-04-01,1020.8631,1014.678,1008.8604,1019.9469,1016.3157,1013.8807
1991-05-01,1018.85034,1011.49805,1009.18195,1018.9243,1013.65704,1012.9383
1991-06-01,1013.63257,1005.76245,1009.8773,1013.8636,1008.80005,1011.7239
1991-07-01,1014.4389,1003.75757,1009.9052,1013.636,1008.33,1010.6939
1991-08-01,1012.35846,1005.9348,1009.44995,1013.8523,1007.80365,1004.9851
1991-09-01,1017.09705,1011.67444,1009.90405,1017.09076,1013.10443,1008.6504
