,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12
1987-01-01,-1.5444057e-05,2.9364382e-06,4.9377522e-06,-1.6787046e-05,1.0643256e-05,1.2758679e-05,0.00016441094,5.683858e-06,-4.7001595e-06,-8.3091436e-08,-1.445369e-07,5.571673e-05
1987-02-01,-1.4531179e-05,2.9715484e-06,3.4279874e-06,-1.2275312e-05,2.263359e-05,1.3961224e-05,0.00013739319,-3.042078e-08,-9.852665e-06,-3.3835022e-06,-4.7879366e-06,3.9425322e-05
1987-03-01,-1.2907309e-05,3.3051e-06,8.22061e-06,-8.694013e-06,1.0722255e-05,8.580497e-06,0.00012549064,-1.0047515e-06,-3.5678386e-06,-7.0262467e-06,-5.131951e-07,4.3726395e-05
1987-04-01,-4.5684938e-06,1.8567807e-06,-3.7275458e-07,-9.440118e-06,6.579183e-06,7.0268434e-06,0.00012836972,-2.1645974e-08,-9.624448e-06,-5.1390452e-06,3.4455443e-06,5.2916643e-05
1987-05-01,5.13086e-06,7.263843e-06,3.7088757e-06,-1.0818214e-05,-4.8669317e-06,9.809373e-06,0.0001220849,8.297866e-07,-7.3597985e-06,-2.997287e-06,-1.0574149e-06,2.48719e-05
1987-06-01,-3.3396136e-06,1.8095521e-05,3.1734344e-06,-4.8932707e-06,-1.1441429e-05,6.921513e-06,6.416965e-05,5.1396382e-06,-5.182934e-06,2.7679198e-07,-1.0800657e-05,2.3072473e-05
1987-07-01,2.032335e-06,2.1474934e-05,3.88443e-06,-8.334122e-06,-7.4563577e-06,1.1020697e-05,4.248874e-05,1.0265812e-05,-9.887779e-06,4.086316e-06,-1.671855e-06,3.3825152e-05
1987-08-01,5.1659736e-06,1.4874106e-05,3.1909913e-06,-1.0589996e-05,3.5596531e-06,6.1139617e-06,3.3070268e-05,4.0599807e-06,-1.06602165e-05,4.6112837e-07,-4.9722657e-06,4.278718e-05
1987-09-01,-2.7163987e-06,1.8271072e-05,-4.868634e-07,-9.729782e-06,-1.9824132e-05,-2.1475716e-07,6.490698e-05,3.4279874e-06,-1.09674365e-05,-1.3470781e-06,-5.797374e-06,4.7290137e-05
1987-10-01,-5.1214884e-06,2.0167055e-05,2.6116613e-06,-9.352341e-06,-1.3100413e-05,1.0423813e-05,0.00013748975,2.2781096e-06,-8.457013e-06,-1.6191843e-06,-4.1734966e-06,4.068931e-05
