,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12
1989-10-01,101836.195,101178.16,101906.44,101413.78,102301.3,101127.79,101868.05,101869.45,101002.04,102277.08,101475.555,101481.54
1989-11-01,101750.375,101013.23,102525.24,101360.99,102021.516,101462.74,101675.38,101826.6,101043.6,102038.23,101273.75,101723.49
1989-12-01,101853.48,101106.22,102477.98,101400.85,101956.13,101565.39,101597.86,101976.516,101116.89,100837.51,101100.234,101935.125
1990-01-01,101774.4,101092.9,102634.484,101363.734,101752.87,101627.22,101426.875,102356.34,101009.85,101983.734,101140.984,101920.875
1990-02-01,101901.97,101165.49,102405.13,101534.26,101886.09,101382.0,101321.6,102110.77,101115.016,102302.89,101023.51,101913.12
1990-03-01,101745.516,101181.6,101973.23,101603.12,101908.625,101371.15,101521.88,101964.125,101118.63,101951.75,101300.125,101916.266
1990-04-01,101668.71,101076.44,101323.06,101544.94,101860.305,100963.46,101500.41,102047.69,100890.92,101739.56,101195.08,101118.28
1990-05-01,101533.15,101200.625,101056.016,101537.35,102046.875,100504.88,101659.26,102016.99,100858.125,102493.484,101496.85,101059.23
1990-06-01,101713.88,101328.13,100454.516,101531.984,102110.89,100237.016,101936.63,102278.15,100959.02,102241.5,101786.48,101101.88
1990-07-01,101847.52,101369.98,100393.36,101441.875,102268.63,100214.26,102031.875,102104.766,101027.65,102372.625,101824.47,100896.984
1990-08-01,101897.83,101410.71,100383.32,101365.95,102058.55,100405.67,102050.55,102065.55,101040.95,102339.07,101853.83,101122.54
1990-09-01,101759.695,101289.21,101120.555,101308.586,102235.31,100669.336,101853.414,101871.8,101053.445,101673.67,101654.71,101269.55
1990-10-01,101815.13,101201.5,101987.234,101412.12,102364.87,101126.86,101850.5,101891.875,101013.766,101885.75,101430.62,101415.85
1990-11-01,101855.87,101105.85,102193.99,101353.34,102097.35,101382.234,101681.61,101889.13,101034.016,102171.52,101320.02,101502.86
1990-12-01,101837.25,101080.99,102595.266,101405.11,101974.98,101553.23,101587.13,101897.36,101050.64,101567.984,101137.6,101587.89
1991-01-01,101800.3,101157.83,102625.445,101431.43,101952.58,101606.42,101513.43,102263.29,101020.57,100831.92,101140.695,102041.81
1991-02-01,101815.945,101197.66,102311.83,101435.07,102004.08,101594.3,101503.81,102366.18,101075.82,100402.96,101021.305,101725.695
1991-03-01,101485.61,101103.875,101968.23,101590.14,101751.36,101234.99,101360.35,102114.02,101004.516,102538.15,101083.11,101380.38
1991-04-01,101478.664,101158.164,101467.8,101619.68,101832.79,100996.555,101495.68,101930.33,100916.43,102330.95,101269.42,101045.04
1991-05-01,101533.41,101169.55,101149.805,101576.43,101651.03,100768.81,101610.914,102024.8,100943.57,102380.69,101452.2,101076.79
1991-06-01,101644.89,101298.5,100576.24,101516.11,102021.61,100280.5,101876.1,102270.97,100992.516,102142.875,101653.875,100969.52
1991-07-01,101901.14,101404.516,100375.76,101430.35,102233.984,100135.39,102024.23,102150.39,100999.4,102207.125,101849.125,100893.266
1991-08-01,101911.09,101485.266,100593.484,101388.35,102207.35,100429.02,102104.234,102001.234,101028.25,102237.0,101792.5,100955.52
1991-09-01,101779.414,101316.71,101167.445,101261.8,102026.56,100931.055,101972.555,102013.3,101098.7,101689.79,101667.94,101260.83
1991-10-01,101691.664,101229.695,101809.805,101214.56,102128.195,101078.33,101822.664,101578.93,100979.82,101322.17,101296.56,101362.69
1991-11-01,101879.74,101102.74,102452.1,101390.34,102011.766,101474.4,101708.85,101866.88,101096.48,101676.64,101318.64,101752.73
1991-12-01,101882.13,101079.234,102635.86,101446.74,101807.47,101547.86,101560.266,101730.984,101042.48,102122.39,101165.23,101972.5
1992-01-01,101745.695,101089.805,102723.46,101495.71,101690.58,101735.84,101487.914,101838.586,101263.54,100525.68,101181.805,102154.91
1992-02-01,101609.195,101169.18,102216.81,101469.56,101817.81,101575.086,101566.7,102299.32,101125.03,101150.7,101107.56,102203.53
1992-03-01,101589.125,101129.11,102015.87,101658.35,101604.47,101466.26,101494.53,102101.5,101091.1,101653.4,101173.016,101498.77
1992-04-01,101600.164,101070.33,101214.8,101468.8,101834.805,101211.08,101570.66,102049.68,100987.29,101640.3,101293.82,101227.07
1992-05-01,101658.0,101129.11,101032.62,101392.375,101751.59,100785.11,101694.12,102007.13,100924.5,101382.1,101486.5,101070.5
1992-06-01,101533.83,101303.67,100634.56,101391.96,101978.45,100313.34,101896.305,102209.32,100893.81,101879.42,101665.08,100971.3
1992-07-01,101854.695,101471.04,100681.83,101347.58,102298.195,100216.32,102103.914,102156.68,101061.18,102245.555,101898.96,100934.71
1992-08-01,101899.43,101448.086,100572.18,101377.914,102196.04,100399.8,102149.95,102100.555,101028.43,102198.81,101904.92,100990.19
1992-09-01,101677.89,101229.84,101074.87,101134.59,102226.14,100793.484,101863.13,101936.26,101013.375,101682.73,101611.14,101285.49
1992-10-01,101765.17,101242.83,102116.195,101290.16,102211.445,101126.336,101835.336,101825.07,101038.93,101985.414,101409.07,101358.32
1992-11-01,101679.89,101050.62,102469.984,101322.02,101914.01,101405.0,101684.734,101815.984,101043.12,101916.25,101272.1,101772.49
1992-12-01,101869.51,101090.51,102529.125,101415.15,101795.98,101631.15,101589.9,102034.4,101122.5,102014.87,101230.85,101944.1
1993-01-01,101823.055,101219.05,102777.68,101322.97,101767.94,101677.81,101480.46,102214.08,101087.54,101183.555,101113.54,102152.83
1993-02-01,101747.16,101152.34,102254.11,101514.125,101764.26,101532.516,101454.9,102031.74,101142.23,100994.35,101070.13,101825.875
1993-03-01,101656.234,101221.625,101929.73,101617.0,101766.41,101386.85,101426.15,102117.15,101092.266,101701.36,101185.02,101521.84
1993-04-01,101478.07,101112.31,101497.445,101650.96,101737.836,101165.95,101571.69,101990.79,101027.7,101805.7,101345.71,101070.805
1993-05-01,101483.47,101138.98,101076.63,101549.74,102026.78,100761.63,101676.9,101994.77,100975.23,101995.39,101456.125,100945.37
1993-06-01,101482.12,101338.35,100513.27,101482.98,101938.125,100301.88,101967.0,102218.98,101006.74,101921.02,101782.34,101093.24
1993-07-01,101825.26,101377.77,100407.516,101415.234,102310.88,100189.26,101982.15,102169.99,101001.9,102121.26,101915.625,100989.266
1993-08-01,101845.305,101417.44,100719.2,101358.46,102167.54,100473.055,101998.7,102068.28,101140.33,101961.42,101880.805,100986.69
1993-09-01,101723.305,101267.17,101280.3,101362.08,102139.34,100756.79,101778.914,102006.79,101105.32,101764.81,101707.06,101094.04
1993-10-01,101755.984,101195.51,102089.01,101272.14,102139.52,101138.49,101758.87,101830.35,101116.11,101983.74,101543.98,101343.26
1993-11-01,101884.18,101041.56,102270.17,101437.914,102171.47,101277.29,101558.57,102001.7,100955.42,102195.56,101213.836,101569.055
1993-12-01,101813.06,101056.7,102853.7,101546.68,101982.45,101527.8,101553.79,102152.22,101020.164,101700.805,101185.45,101833.17
1994-01-01,101856.94,101084.95,102408.18,101455.555,101855.42,101522.555,101423.81,102303.445,100999.96,101398.8,100988.81,101786.06
1994-02-01,101762.375,101165.64,102172.9,101453.375,101925.99,101422.73,101442.77,102299.266,100942.48,101705.375,100990.39,101911.39
1994-03-01,101665.516,101176.24,102226.02,101586.766,101718.09,101320.66,101518.375,102262.375,101048.0,102023.766,101154.01,101637.52
1994-04-01,101637.95,101163.82,101250.08,101615.3,101759.41,101068.414,101475.55,101956.04,100941.2,102134.555,101342.46,101162.79
1994-05-01,101607.055,101219.305,100868.81,101576.586,101846.09,100824.05,101709.43,102232.33,100999.96,102290.055,101577.92,101159.945
1994-06-01,101746.32,101322.59,100602.16,101481.664,102158.42,99990.45,102024.79,102251.95,100947.93,102205.43,101709.19,101065.56
1994-07-01,101856.695,101396.67,100359.43,101338.04,102111.66,100037.83,102033.21,102144.31,101014.68,102512.31,101810.414,100862.94
1994-08-01,101829.555,101372.08,100544.67,101319.56,102320.95,100323.56,101968.58,101987.055,101060.3,102079.914,101749.95,100882.08
