,mgu500GLB_cluster1,mgu500GLB_cluster2,mgu500GLB_cluster3,mgu500GLB_cluster4,mgu500GLB_cluster5,mgu500GLB_cluster6,mgu500GLB_cluster7,mgu500GLB_cluster8,mgu500GLB_cluster9,mgu500GLB_cluster10,mgu500GLB_cluster11,mgu500GLB_cluster12
1974-09-01,-1.488095,1.9486256,-0.066072084,-0.3020897,1.265226,0.78990346,-1.2596378,-0.9588631,0.19459991,0.21267852,0.08053513,0.2675747
1974-10-01,-1.3930962,0.7527584,0.17027473,-0.011505127,0.9164589,-0.003287506,0.2005165,-0.90265274,0.20347519,0.21037789,-0.08480835,0.5719654
1974-11-01,-1.0019249,0.5216715,0.5118103,-0.36027223,1.4029579,-0.73730886,-1.2405723,-0.09006806,1.5038735,0.3569851,0.101573184,0.16895981
1974-12-01,-0.3234562,-0.2928856,1.1915939,-0.09499855,1.3861933,-0.61995775,-1.0702976,-0.025639724,2.5738425,-0.60878146,-1.2612813,-0.6478985
1975-01-01,-0.16467896,-0.6739181,1.4472774,0.23403473,1.327568,-1.9261135,-0.82402956,-0.40536422,2.559812,0.15137824,-1.6752945,-0.76037484
1975-02-01,-0.25556946,-0.2850216,1.6654774,0.60519636,1.0624979,-1.7357826,-1.0371624,0.16467896,2.5601287,-0.20489883,-0.72395515,-1.1340698
1975-03-01,-0.3895298,-0.37939566,1.4529774,0.3835125,1.3456194,-2.4679713,-0.864566,-0.62514764,2.397033,-0.035786055,-0.3550106,-0.6517498
1975-04-01,-0.6517498,-0.27837124,1.1818901,-0.002217102,2.4834893,-0.025335312,-0.837014,-0.6314815,2.0423393,-0.008234024,-0.44495088,-0.033885956
1975-05-01,-1.021645,1.3196509,0.19191475,-0.0481369,1.3652542,-1.2528288,-0.27932128,-0.87406653,0.8265629,0.17291299,-0.028502274,0.3486763
1975-06-01,-1.9938854,0.94753873,-0.06428833,-0.20299836,0.5279236,-1.8273064,0.37306175,-1.1198189,0.053203963,0.21313247,0.10989151,0.431966
1975-07-01,-2.0151038,0.77019197,-0.41264802,0.028501892,0.30940706,0.8731165,-0.82244605,-0.9203037,0.030402374,0.013301087,0.21598282,0.31827432
1975-08-01,-1.8225559,0.7416897,-0.4899208,0.079172514,0.20489883,1.6046724,-0.67265147,-1.2933655,-1.2829144,0.21851654,0.022485351,0.45603484
1975-09-01,-1.1087345,1.1784065,-0.2831215,-0.0978569,0.5738438,1.7183647,-0.41549835,-1.1825234,0.09785728,0.381929,0.07220574,0.6960865
1975-10-01,-1.4539276,1.4355599,-0.29230538,0.0421196,0.46553573,-0.24100189,-1.2525123,-0.6644176,0.80186117,0.25145262,0.21756668,0.22263375
1975-11-01,-0.44843405,0.52380675,0.7081211,0.13649368,1.5223328,-0.4088478,-0.8430311,-0.007283783,1.9679168,0.019001389,-0.07030525,0.1155922
1975-12-01,-0.3109905,0.39238015,0.98775864,-0.4123314,0.8034447,-1.6486924,-1.0457134,0.23023415,2.6044652,0.07030525,-0.4088478,-0.443684
1976-01-01,0.11673012,-0.9032272,1.5871235,-0.12614898,1.149134,-2.2565544,-0.88270724,-0.21125755,2.387413,-0.092173,-1.0155838,-0.83830225
1976-02-01,1.0441777,-0.31486815,1.5851047,0.062906265,1.2150676,-0.3939213,-1.3529907,0.316214,1.97028,0.0494503,-0.8335926,-0.34951705
1976-03-01,-0.41444167,-0.6674126,1.6745869,0.43361625,1.6688678,-0.5658207,-1.0956471,-0.3337063,2.0062747,0.11572075,-0.33807945,-0.5947506
1976-04-01,-0.08611755,-0.27382755,1.0125564,0.43698007,0.5389088,-0.70037955,-0.5113243,-0.5412636,1.7385025,0.10428314,-0.28223723,0.2889656
1976-05-01,-1.2904209,0.87665176,0.04877777,-0.04373169,0.9025545,-0.97050685,-0.24086075,-0.7044163,0.77203256,0.39156684,0.32933313,-0.18569107
1976-06-01,-1.7825702,1.1757091,-0.39156646,-0.12749481,0.70239794,-0.7750599,-0.6886055,-0.97790754,0.32025033,0.31587678,0.20251083,1.0068378
1976-07-01,-1.9689347,0.6364643,0.17929992,-0.32260513,0.40535888,0.32092324,-0.14700584,-1.1336597,-0.36398202,0.44942778,0.33707047,0.70206183
1976-08-01,-2.103494,0.07938995,-0.33101502,-0.24657974,-0.009755706,0.6425192,-0.29771176,-1.0727718,-0.7239273,0.3326973,0.13489608,0.96445197
1976-09-01,-2.069181,1.5110977,-0.15642472,-0.4504364,1.0091927,0.050123215,-0.30679455,-0.8097092,0.12951317,0.2859375,0.43193397,0.2388424
1976-10-01,-2.1734643,0.8204735,0.41511497,-0.1540699,1.2453436,-0.39795798,-0.91130084,-0.45548248,1.3647648,0.21630326,0.18400955,0.008073425
1976-11-01,-1.1989208,0.48239422,0.92845726,-0.15205154,0.7306553,0.11471138,-0.5574104,-0.38147467,2.3248432,-0.21865845,0.061897278,0.06458855
1976-12-01,-0.19914742,0.45009977,1.0371135,-0.004709625,1.0657072,-1.3647645,-1.0906006,-0.13422279,2.559649,-0.4544731,-0.8759788,-0.06156082
1977-01-01,0.010614777,-0.7812626,1.738734,-0.29438895,1.5306804,-2.3968627,-0.6606056,0.031844713,2.8653374,-0.39876938,-1.5731407,-0.6100079
1977-02-01,-0.66343653,-0.05342865,0.7819702,-0.13516387,0.9871931,-1.8049004,-1.1779091,-0.34215584,3.0086396,-0.45679855,-0.5219032,-0.13091812
1977-03-01,0.38390845,1.0806053,1.0024078,0.54101026,2.258868,-1.1938317,-0.7136806,-0.42955247,2.4177392,-0.09978104,-1.040622,-0.03042984
1977-04-01,-0.38072395,-0.19142342,1.1418183,0.352417,-0.060151674,-0.13728714,-0.19319268,-0.5211956,1.3254573,0.35454026,0.26254386,-0.4493679
1977-05-01,-1.4967121,0.9373032,0.6666206,-0.24095993,0.5710861,-1.3481029,-0.57533187,-0.3679859,0.7720631,0.2292839,0.34569472,0.07218208
1977-06-01,-2.0515225,1.2040932,0.0842125,-0.16453247,0.23317567,-0.6340683,-0.51128805,-0.49678117,1.0622059,0.118888095,-0.3736473,0.5703785
1977-07-01,-1.7560718,0.81027716,-0.0024772645,-0.23034516,0.39593887,0.1910698,-0.96207124,-0.73137206,-0.0633358,0.25652847,-0.04599762,0.57391703
1977-08-01,-1.5851707,0.8017845,-0.5109345,-0.12348785,0.13799515,1.2062156,0.033260345,-0.81240004,-0.32234153,0.17833099,-0.027599335,0.32163352
1977-09-01,-1.9524491,0.5760395,-0.26325148,-0.2459137,0.53358,1.6262152,-0.76038665,-0.8491985,-0.4291996,0.08456574,-0.025829315,0.6485756
1977-10-01,-1.1234188,1.564648,0.2901432,-0.13339539,1.2214305,0.5413643,-0.57179374,-0.31066513,1.3622558,-0.03149109,-0.052013397,0.23777542
