,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10
1996-11-01,-5.281771920803801e-05,3.6320549957123276e-05,8.460149811898273e-05,-0.00010126251152154476,-6.836648552832614e-06,0.0001043456103178431,-2.9036675570488932e-05,-6.523930141320604e-05,1.6378152846319807e-05,5.853979009069014e-05
1996-12-01,-5.421721128849471e-05,3.385028109275901e-05,8.652978398128073e-05,-9.820889400298058e-05,-4.4596634440896565e-06,0.00010510627665401746,-3.052868890721401e-05,-6.581195804279023e-05,1.8096897840334365e-05,5.722156161199118e-05
1997-01-01,-5.7451757429195694e-05,3.172397881566252e-05,8.869979369178921e-05,-9.587175165499602e-05,-4.051021035289537e-06,0.00010495936159579151,-2.9462735863542962e-05,-6.508857055808623e-05,1.7133827869495037e-05,5.717083695344627e-05
1997-02-01,-5.67369096662074e-05,3.219921980604731e-05,8.584564718396656e-05,-9.708458346937447e-05,-5.775964684318069e-06,0.00010818555084471073,-3.0440962731829478e-05,-6.512073759651804e-05,1.9024603665727302e-05,5.670855434914914e-05
1997-03-01,-5.466398249074235e-05,3.3386247354684094e-05,8.779222546515732e-05,-9.948456454636342e-05,-3.7972406441433293e-06,0.00010672944578497359,-3.0947239128464446e-05,-6.730513811563752e-05,1.868194948624948e-05,5.8408615808880465e-05
1997-04-01,-5.187104312964345e-05,3.428536550675293e-05,8.773934082868932e-05,-0.0001002077301537078,-8.26962296418543e-06,0.00011006497650803929,-2.9236736303581303e-05,-6.523635375578736e-05,1.769040509388629e-05,5.851369592025909e-05
1997-05-01,-5.197543736368334e-05,3.5112887189440686e-05,8.729308650469068e-05,-0.00010099827084153949,-8.997051775816445e-06,0.00011307545786689,-2.744024274831867e-05,-6.708608929866536e-05,1.668901934161219e-05,5.952891734005679e-05
1997-06-01,-4.961900955650135e-05,3.739458902454549e-05,8.754489416870372e-05,-0.00010354784819025626,-9.296501259081769e-06,0.00011363799718243104,-2.7510712448447272e-05,-6.49571023534575e-05,1.3858040490799734e-05,6.06319897432345e-05
1997-07-01,-4.9940220476259706e-05,3.928366399747548e-05,8.44470510359811e-05,-0.00010193240190709204,-1.0752759216359209e-05,0.00011307093329917362,-2.6140374312928774e-05,-6.453025263431673e-05,1.0960076752088504e-05,6.37911524100286e-05
1997-08-01,-4.9948918739712594e-05,4.0720139935261264e-05,8.474476503165946e-05,-0.00010443359198502431,-1.0398679384238108e-05,0.00011130027781257889,-2.6412491330226576e-05,-6.53613153458611e-05,1.0795544154698242e-05,6.285544074787566e-05
