,zgv200_cluster1,zgv200_cluster2,zgv200_cluster3,zgv200_cluster4,zgv200_cluster5,zgv200_cluster6,zgv200_cluster7,zgv200_cluster8,zgv200_cluster9,zgv200_cluster10,zgv200_cluster11
1975-04-01,-0.12898779,0.07932548,0.22562802,0.6758102,0.7015809,0.0208045,0.048722792,-0.1045593,-0.18817993,0.12616913,0.03301873
1975-05-01,0.022280931,-0.044427656,-0.30642992,0.06013169,0.08456018,-0.16455679,-0.42454568,-0.15449008,-0.113954924,0.15287943,0.29367873
1975-06-01,0.237708,-0.09677448,-0.98250854,0.61527586,-0.32642898,-0.75084054,-0.24482182,0.15153722,0.37904435,-0.012482643,0.1899248
1975-07-01,0.39058745,-0.119726464,-0.4625306,0.14428921,0.22562799,-0.40978128,0.33367708,0.18348214,-0.31569138,-0.46373874,0.16818085
1975-08-01,-0.45098752,-0.016240884,-0.3028058,0.70466805,0.013825035,0.28804147,0.33246908,-0.18952218,0.5509833,0.2095213,-0.35099182
1975-09-01,0.43796796,0.35716605,-0.68091077,0.27824318,0.016912032,-0.3598504,-0.1899248,-0.28495437,-0.26938447,-0.14938965,0.47930852
1975-10-01,0.26710275,0.21972227,-0.80117404,-0.03301873,-0.091137074,-1.3180647,0.3531394,0.22093025,-0.26428396,-0.18442173,0.4585041
1975-11-01,-0.14979228,-0.035166286,-0.32871094,0.3974328,0.12536383,-0.5221254,0.37448075,0.47031555,-0.2973028,0.05140724,-0.4497795
1975-12-01,-0.109122895,0.18227415,0.07073529,0.14724211,0.31797308,-0.61594707,0.43662578,-0.33810642,0.020670224,-0.06295035,-0.13878608
1976-01-01,0.118676946,0.18183728,0.43353957,0.16936608,-0.029099321,-0.5370635,-0.09453926,-0.19256508,-0.6849739,0.47108707,-0.3902259
1976-02-01,-0.09936681,0.15957685,0.35442165,0.31821507,0.011666536,-0.2766447,0.14670353,-0.5101097,0.12256575,0.52727425,-0.48691073
1976-03-01,-0.76127565,0.009789181,0.07442453,0.05484619,-0.025880957,-0.23775618,0.35495806,-0.014750767,0.66995484,0.18827394,-0.7855475
1976-04-01,-0.6161814,-0.030976677,-0.47685337,-0.24070635,-0.851792,0.03754749,0.06946287,-0.30829185,0.0470685,0.10030548,0.23400143
1976-05-01,-0.21992111,0.5330405,-0.18156902,0.5164123,0.054041576,-0.4024288,0.15086052,0.3862029,0.18156902,0.07268125,-0.43675795
