,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11,zgu250_cluster12
1977-01-01,-0.5615324,-0.05696716,-0.44759828,0.65883636,0.5059807,-1.2069237,0.7646324,-0.15320969,0.44335175,-0.004953766,0.012030411,-0.05024414
1977-02-01,-0.5594093,-0.04776764,-0.58665466,0.4111538,0.14400978,-0.7724167,0.4143383,-0.19673157,0.33507997,-0.1992073,-0.09128876,-0.027598571
1977-03-01,-0.318803,-0.017691802,-0.28660432,0.27846605,0.5937313,-0.050598145,0.16276303,-0.18293151,0.17444,0.101903535,-0.53074914,0.07395096
1977-04-01,-0.10084228,0.26820526,-0.5059811,0.14224091,0.11181088,-0.20451546,-0.03609085,-0.14507142,0.25122148,-0.13162574,0.061566927,-0.109687805
1977-05-01,-0.37577057,0.34640273,0.10614967,0.10508843,0.63477594,0.0955349,-0.2027462,-0.007784271,0.45042878,0.13374862,-0.27315864,-0.056259155
1977-06-01,0.031137085,-0.0021232604,-0.046705626,-0.21583787,-0.2084076,-0.6563595,-0.1440094,0.14860916,0.25475997,-0.22433014,-0.23565292,0.008492279
1977-07-01,-0.0056617735,0.19213104,-0.45821303,0.09376564,-0.6036388,0.5215492,0.023706818,0.14684066,-0.004245758,-0.00070800784,-0.06085968,0.32517242
1977-08-01,-0.22503738,0.30924988,-0.24768296,-0.19000778,-0.21689911,0.67228204,-0.107565306,0.08775024,0.004953766,-0.09518051,0.10084228,0.13233337
1977-09-01,-0.10544205,0.16347046,0.16983947,0.07501259,-0.35701713,0.36586303,-0.22680703,0.271743,-0.10650406,-0.34215623,-0.16453247,-0.11994858
1977-10-01,-0.0346756,-0.122779846,-0.41787642,0.36303252,1.1389873,-0.68537366,0.2027462,-0.06475143,0.44335252,-0.013800049,-0.2108841,-0.23317567
1977-11-01,-0.1220726,0.1762085,-0.17691651,0.12879524,0.050598145,-0.399477,0.4401676,0.113580324,0.26749724,-0.08598099,-0.019107055,-0.21760711
1977-12-01,-0.28908157,0.094120026,-0.6386679,0.746941,0.8145229,-0.29438895,0.4603363,-0.3333103,0.15073243,-0.06758194,-0.37258607,0.1093338
