,mgv600GLB_cluster1,mgv600GLB_cluster2,mgv600GLB_cluster3,mgv600GLB_cluster4,mgv600GLB_cluster5,mgv600GLB_cluster6,mgv600GLB_cluster7,mgv600GLB_cluster8,mgv600GLB_cluster9,mgv600GLB_cluster10,mgv600GLB_cluster11,mgv600GLB_cluster12,mgv600GLB_cluster13,mgv600GLB_cluster14,mgv600GLB_cluster15,mgv600GLB_cluster16,mgv600GLB_cluster17,mgv600GLB_cluster18
1985-07-01,-0.5214797,-0.07232006,0.15493336,0.09384229,0.38245413,-0.35571843,-0.0316818,0.07191901,0.48525286,-0.008956457,-0.11376039,-0.4276375,0.22484723,0.6201345,0.07419155,-0.006683922,-0.32951745,-0.47709846
1985-08-01,-0.26334658,-0.26575282,0.017645573,0.17725766,0.17150947,-0.34435576,-0.0316818,0.14330335,0.3169517,-0.1590774,-0.09798634,-0.2430275,0.14758106,0.5483492,-0.29275587,-0.31481284,-0.13260905,-0.54072946
1985-09-01,-0.30345017,-0.5488838,-0.010560584,0.099590465,-0.05587759,-0.46065608,-0.07940501,0.14517483,0.21749489,0.074458934,-0.21094462,-0.21829696,0.1602805,0.4823119,-0.20372601,-0.47816792,-0.30184606,-1.1041842
1985-10-01,0.13969398,-0.40691724,0.06309626,0.17231157,-0.05240195,-0.03716264,0.0633636,0.39956495,-0.034088016,0.03676157,-0.13341112,0.07606306,0.0042777536,0.5459429,-0.10721014,-0.03154812,-0.15533438,-0.9177027
1985-11-01,-0.22484712,-0.59580505,0.06536877,0.21321718,0.06015532,0.08475218,0.10707648,0.35906038,-0.046386458,-0.11309198,-0.16629604,0.16308773,-0.07245374,0.36801684,0.028206158,-0.21963374,-0.2875424,-1.1540463
1985-12-01,0.6720017,-0.85701275,-0.106007025,0.019918095,0.11977591,0.11215625,0.0025398969,0.5236186,-0.14143184,-0.15974578,-0.10360084,-0.08769307,-0.32269987,0.53431284,0.006282902,-0.3732303,-0.18862036,-1.1150123
1986-01-01,0.5131063,-0.87457454,-0.09007548,0.14101025,-0.10653533,-0.08165114,0.03240125,0.5556166,-0.065320924,0.01114603,-0.27813235,0.054693293,-0.5903508,0.43210307,-0.12597606,-0.07154193,-0.30223885,-1.1258786
1986-02-01,0.5935909,-0.85318977,0.07659656,0.19635159,-0.12908658,-0.10640571,0.13440038,0.5466739,-0.16161744,0.08255838,-0.27398497,0.32790065,-0.41732812,0.5557462,-0.092408374,-0.2586916,-0.20542392,-1.2583349
1986-03-01,0.12429118,-0.55859756,-0.10355439,0.2566179,0.07724458,-0.12480961,0.051193975,0.8025142,0.09927742,-0.15526679,-0.05767424,0.2903152,-0.18935291,0.615883,-0.13349316,-0.16602397,-0.12040304,-0.7548195
1986-04-01,0.14126948,-0.27165207,-0.122865535,0.1165149,0.29161125,-0.27009684,-0.0063506453,0.35097033,0.020736802,-0.14580563,-0.20386867,-0.07944789,-0.27320734,0.4477853,-0.11223793,-0.018015098,-0.2226614,-1.1374135
1986-05-01,0.103813626,-0.4247156,0.08994587,0.06674658,0.083206415,-0.23199293,0.09733336,0.06091435,0.16680165,0.124680005,-0.08761298,-0.24573109,-0.088520214,0.4695589,-0.11470042,-0.12079187,-0.23160414,-0.9124192
1986-06-01,0.06635781,-0.25959882,0.088131405,0.11223793,0.18753846,-0.5093477,0.03732624,0.19959171,0.3444901,-0.0312348,-0.07089394,-0.26841193,0.02734666,0.67200196,-0.0025921017,-0.008813143,-0.27541065,-0.3575802
1986-07-01,0.18624239,-0.20555353,0.123124756,0.07841103,0.20801601,-0.2303081,-0.13491881,0.052878845,0.41356954,-0.12701291,-0.0016848624,-0.21462588,0.23341861,0.8461911,-0.13414118,-0.2152739,-0.32595658,-0.40268272
1986-08-01,0.27268893,-0.3630236,-0.06454329,0.069468275,-0.058192648,-0.26789355,-0.15086022,0.123383954,0.58192647,0.065320924,-0.20192459,-0.05767423,0.1581181,0.7829438,-0.20659038,0.016589355,-0.23134494,-0.60331124
1986-09-01,-0.19155622,-0.23989885,0.030068357,0.1373813,-0.050416343,-0.46774444,-0.07413407,0.111719504,0.3030165,0.15435958,-0.2560995,-0.06869065,0.0312348,0.6523019,-0.13634446,0.03965913,-0.46813327,-0.72449195
1986-10-01,0.5418785,-0.25441462,-0.050675552,0.054434102,-0.12869777,0.04950912,-0.056637384,0.22110614,0.100184664,-0.0053138034,-0.10627611,0.15630364,-0.05728541,0.39412883,-0.04626898,-0.107053734,-0.33852828,-0.86511344
1986-11-01,0.5983863,-0.60810673,-0.024365742,0.1944075,0.28240928,0.09253798,-0.18585357,0.5501732,0.045620956,-0.015552601,-0.14191747,0.18481675,-0.2931665,0.4514142,-0.03965912,-0.015163779,-0.08994587,-0.92162114
1986-12-01,0.4411754,-0.69934857,-0.033438098,0.2305673,0.34656376,0.054174878,0.20555353,0.8271391,0.10977544,0.25571066,-0.07426367,-0.09046428,-0.5201049,0.41473603,-0.003888154,-0.3461749,-0.120143816,-0.84048843
