,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8
1978-03-01,-0.0777055,0.012778163,0.45548493,0.029070616,0.026470184,-0.010041714,-0.5822383,-0.06778145
1978-04-01,-0.031110406,0.025833368,0.29855806,0.025461912,-0.023521423,-0.0795629,-0.33684444,-0.10137451
1978-05-01,0.0023235083,0.01734221,1.182804,0.022489905,-0.014340401,-0.07505202,-0.25803602,-0.044908404
1978-06-01,0.016864538,0.025992513,1.6016824,0.03687179,0.025302649,-0.48034465,-0.23887789,-0.038540125
1978-07-01,0.008957267,0.020685554,2.8955727,0.034961343,-0.03180027,-0.21393514,-0.22661877,-0.023839831
1978-08-01,0.0066752434,0.014104962,1.1412505,0.015962362,0.024559617,-0.33450937,-0.33323562,-0.081632614
1978-09-01,-0.049843907,0.021375537,1.4044757,0.011716843,-0.0023466349,-0.1941402,-0.51892626,-0.05403638
1978-10-01,-0.036470413,0.019040465,1.8069557,0.028752208,0.005401492,-0.015348673,-0.3441149,-0.083490014
1978-11-01,-0.033339262,0.018191338,0.92982113,0.014317274,-0.00935185,-0.053930283,-0.3923552,-0.062262177
1978-12-01,-0.06778145,0.024082065,0.19432938,0.035120487,-0.028828382,0.030344248,-0.26822543,-0.09160972
1979-01-01,-0.050508916,0.008986354,0.33931452,0.030555129,-0.012537062,0.102556705,-0.13334018,-0.016932368
1979-02-01,-0.042262077,0.00685668,0.23283017,0.01741451,0.0198614,-0.05911833,-0.24825275,-0.012491763
1979-03-01,-0.06713861,0.01415199,0.44792858,0.027655125,-0.0050151944,-0.0372324,-0.3059808,-0.06269801
1979-04-01,-0.00537771,0.02883327,0.39894578,0.037487924,0.023758233,-0.30416834,-0.21544647,-0.06627768
1979-05-01,0.0103004575,0.023712933,1.7570069,0.03862077,0.012384832,-0.08834487,-0.45496833,-0.059344888
1979-06-01,0.035856664,0.021311402,0.9517583,0.022036374,-0.02001363,-0.45632768,-0.4343058,-0.04788083
1979-07-01,0.0061317086,0.020994186,1.4030709,0.03449732,-0.034422994,-0.23774016,-0.2132262,-0.059435487
1979-08-01,0.0075363517,0.027564526,2.3210115,0.026205122,-0.0008917451,-0.12418705,-0.18155265,-0.031024575
1979-09-01,0.0036848187,0.026522338,1.2052364,0.022126973,-0.020240188,-0.3140012,-0.28142142,-0.013851106
1979-10-01,-0.03641677,0.02393949,1.5668755,0.009122312,-0.0011183023,-0.19618869,-0.19800115,-0.05105269
1979-11-01,-0.023729265,0.030328572,1.6086084,0.0297395,-0.01190269,-0.05997926,-0.25998867,-0.06677616
1979-12-01,-0.05821204,0.027383268,1.1468287,0.039255142,0.0031410456,-0.007416725,-0.36334646,-0.05658084
1980-01-01,-0.0051158667,0.030971587,0.039379895,0.03215331,0.025108516,0.05315131,-0.2804535,-0.037021935
1980-02-01,-0.07706362,0.028290033,0.8740282,0.024199545,0.012836993,-0.029295385,-0.28222603,-0.07933611
1980-03-01,-0.07065511,0.011882484,0.6162344,0.036289275,0.028335512,0.059423447,-0.20996016,-0.061701417
1980-04-01,-0.024977624,0.025108516,1.9042034,0.022926927,-0.00020724535,-0.2754994,-0.54615563,-0.097925305
