,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8
1974-08-01,-4.6271347e-05,-8.582319e-06,-9.944601e-05,-4.8312348e-05,6.1532046e-07,-8.601977e-05,-3.6730464e-05,-2.4069399e-05
1974-09-01,-4.345261e-05,-8.299641e-06,-9.766108e-05,-7.2162584e-05,2.6829293e-06,-8.4178304e-05,-3.281331e-05,-3.1580643e-05
1974-10-01,-5.2361112e-05,-2.1856467e-06,-0.00010431621,-6.230104e-05,7.617742e-06,-7.6521676e-05,-3.731198e-05,-3.553819e-05
1974-11-01,-6.650326e-05,-1.5948193e-05,-8.388239e-05,-6.220412e-05,-4.1848398e-07,-7.061767e-05,-3.6302405e-05,-2.5385885e-05
1974-12-01,-5.8798174e-05,-1.7781582e-05,-8.877681e-05,-6.442519e-05,-6.58902e-06,-7.833891e-05,-3.6948535e-05,-2.0547996e-05
1975-01-01,-5.20379e-05,-2.3928245e-05,-8.8740926e-05,-5.980031e-05,-1.2264118e-05,-7.354429e-05,-4.013236e-05,-2.6754107e-05
1975-02-01,-5.2992615e-05,-1.4749585e-05,-8.869068e-05,-6.8978974e-05,-6.5107015e-06,-6.6048946e-05,-4.2050164e-05,-2.8454167e-05
1975-03-01,-4.9776732e-05,-1.2178552e-05,-8.2660896e-05,-6.7580404e-05,-3.671681e-06,-5.879646e-05,-4.0802337e-05,-2.5372283e-05
1975-04-01,-6.187816e-05,-7.0951137e-06,-8.743447e-05,-5.7597765e-05,2.1822307e-06,-6.412277e-05,-4.1606305e-05,-2.7784194e-05
1975-05-01,-4.2465625e-05,-1.265591e-05,-8.7560096e-05,-6.253046e-05,3.3630604e-06,-7.4381765e-05,-3.1045816e-05,-2.5280162e-05
1975-06-01,-4.3127227e-05,-1.1835189e-05,-8.726698e-05,-6.8669106e-05,2.9192015e-06,-8.088052e-05,-2.9622119e-05,-2.0615455e-05
1975-07-01,-4.6611098e-05,-9.5740215e-06,-8.678125e-05,-5.8451984e-05,-1.6952545e-06,-8.4716135e-05,-2.8994018e-05,-2.4124452e-05
1975-08-01,-5.0304337e-05,-1.0654359e-05,-9.28194e-05,-5.1869476e-05,5.9675913e-06,-8.5310734e-05,-5.1521944e-05,-2.6000384e-05
1975-09-01,-4.888064e-05,-1.0193751e-05,-9.025674e-05,-5.789088e-05,1.1688899e-06,-8.987494e-05,-3.9646628e-05,-3.1904543e-05
1975-10-01,-6.447432e-05,-1.4640711e-05,-8.837244e-05,-6.273145e-05,5.398113e-06,-8.542798e-05,-4.402659e-05,-2.9609877e-05
1975-11-01,-5.7079465e-05,-1.1985936e-05,-9.3489376e-05,-4.7389014e-05,-1.8041246e-06,-6.0898506e-05,-3.4722307e-05,-3.3294742e-05
1975-12-01,-5.550502e-05,-1.7873343e-05,-8.910941e-05,-5.1902975e-05,-3.537687e-06,-6.619969e-05,-3.6933227e-05,-2.8487666e-05
1976-01-01,-5.9687405e-05,-2.274874e-05,-9.167009e-05,-5.8218546e-05,-1.2231845e-05,-5.9436483e-05,-4.284066e-05,-3.0953368e-05
1976-02-01,-5.4677603e-05,-1.7181279e-05,-9.177979e-05,-5.7523757e-05,-9.251562e-06,-7.9173995e-05,-4.225558e-05,-2.6812053e-05
1976-03-01,-5.26938e-05,-1.9064522e-05,-8.372571e-05,-6.257012e-05,-3.0075971e-06,-7.032457e-05,-4.4330805e-05,-2.9664345e-05
1976-04-01,-5.9797105e-05,-1.1412696e-05,-8.848868e-05,-7.424442e-05,-4.3870386e-07,-9.256698e-05,-4.1835043e-05,-2.857645e-05
