,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7
1984-06-01,1014.10205,1017.30804,1010.4432,1020.52313,1021.5893,1015.44415,1022.5257
1984-07-01,1014.33484,1017.0101,1010.85986,1020.87396,1018.20135,1021.6228,1016.8276
1984-08-01,1014.7354,1018.2942,1010.72955,1021.2494,1015.64404,1017.73315,1017.28424
1984-09-01,1014.4967,1018.09686,1011.1972,1019.32806,1014.97595,1013.32544,1013.9034
1984-10-01,1013.86664,1017.29193,1010.72955,1022.46704,1018.0355,1016.0581,1016.1672
1984-11-01,1013.9208,1016.9546,1010.1769,1022.4645,1014.9269,1020.1781,1021.2004
1984-12-01,1010.894,1013.7686,1006.8837,1019.5364,1006.6599,1020.38513,1014.6225
1985-01-01,1012.8967,1015.19336,1009.0692,1019.92194,1011.72687,1018.6307,1012.7894
1985-02-01,1010.66724,1013.1027,1008.25385,1019.13104,1011.89905,1021.654,1016.5365
1985-03-01,1010.4529,1012.5197,1008.5117,1018.84033,1015.3643,1015.5633,1013.77576
1985-04-01,1012.03186,1015.25946,1009.5541,1020.30194,1014.76697,1017.4043,1022.822
1985-05-01,1013.3862,1016.3013,1009.3134,1019.2924,1020.1149,1012.76984,1016.04987
1985-06-01,1013.8842,1016.40546,1010.282,1018.39307,1018.9994,1012.21173,1015.28455
1985-07-01,1015.1082,1018.29834,1011.18665,1021.38837,1019.9732,1013.1933,1015.35956
1985-08-01,1015.00104,1018.7736,1011.15985,1025.3087,1019.5003,1020.5873,1017.7748
1985-09-01,1014.35834,1017.78674,1011.00085,1023.1979,1016.42334,1018.0708,1021.3854
1985-10-01,1013.7276,1016.76874,1010.61365,1019.77905,1015.50366,1014.5852,1017.8326
1985-11-01,1013.7031,1016.7092,1008.91437,1021.4342,1013.19214,1021.44916,1017.24054
1985-12-01,1013.34644,1015.761,1009.0222,1021.819,1009.1515,1016.1987,1016.78906
1986-01-01,1011.7089,1014.3914,1007.625,1020.60516,1010.8025,1021.3711,1018.2714
1986-02-01,1011.75,1014.0698,1009.0751,1019.44366,1011.51514,1015.2022,1012.1722
1986-03-01,1011.95953,1014.59454,1009.68085,1019.8621,1017.42834,1019.16455,1016.0245
1986-04-01,1011.8513,1014.5388,1008.96375,1018.3885,1017.77014,1015.7288,1019.2823
1986-05-01,1013.1622,1015.9447,1010.26697,1016.44666,1018.988,1015.41174,1017.9467
1986-06-01,1013.9825,1017.2935,1009.81885,1019.8424,1017.9049,1011.8127,1013.5787
1986-07-01,1014.74713,1017.6043,1010.6942,1015.8092,1019.81714,1014.0705,1007.76294
1986-08-01,1013.41284,1016.8466,1010.0594,1017.5581,1016.46936,1015.8896,1012.3095
1986-09-01,1013.8388,1017.6961,1010.3201,1020.3197,1016.6301,1013.4698,1011.8912
1986-10-01,1014.7332,1017.6942,1011.4595,1020.79956,1014.1319,1014.83954,1014.5192
1986-11-01,1012.3691,1015.4548,1008.40735,1020.61975,1014.0413,1016.74854,1011.6449
1986-12-01,1011.9361,1014.185,1007.6478,1020.2564,1013.6052,1017.4651,1018.46643
1987-01-01,1010.87866,1013.724,1007.46265,1020.16516,1010.7276,1016.37244,1016.29224
1987-02-01,1009.5043,1012.0793,1007.0131,1016.6819,1014.6041,1017.45685,1012.89343
1987-03-01,1010.464,1013.1588,1009.3912,1016.4959,1015.3999,1013.4347,1011.9564
1987-04-01,1011.21686,1014.0984,1008.8169,1018.7278,1021.8906,1017.14185,1017.62195
1987-05-01,1012.58325,1015.7834,1009.8707,1019.033,1020.98413,1017.3296,1022.0044
1987-06-01,1013.49646,1016.7125,1010.1373,1015.9902,1022.2135,1013.38513,1014.4586
1987-07-01,1012.9772,1015.7473,1010.8285,1015.9485,1022.0215,1008.46643,1013.5711
1987-08-01,1013.4922,1016.90393,1010.2701,1018.06116,1019.7438,1015.24756,1022.0924
1987-09-01,1014.277,1017.70337,1011.568,1019.4942,1020.96576,1010.0731,1010.57837
1987-10-01,1013.64087,1016.78827,1010.4854,1020.6306,1014.557,1018.50464,1020.9169
1987-11-01,1012.64935,1015.8617,1009.47437,1020.3707,1013.0481,1020.0428,1013.5668
1987-12-01,1012.02484,1014.9363,1007.80396,1020.134,1013.18884,1017.3938,1018.96515
1988-01-01,1011.98987,1014.7175,1008.62354,1020.0974,1014.30005,1020.5263,1016.4164
1988-02-01,1010.66376,1013.0773,1007.7113,1016.9649,1011.9687,1019.46967,1010.97125
1988-03-01,1011.86237,1014.4964,1008.9776,1017.9189,1016.83026,1023.4051,1016.23517
1988-04-01,1012.6351,1015.41656,1009.9122,1018.44025,1015.88477,1017.34735,1020.3965
1988-05-01,1013.6108,1016.51904,1010.2058,1017.1758,1017.22833,1017.8434,1017.9618
