,r1000_cluster1,r1000_cluster2,r1000_cluster3,r1000_cluster4,r1000_cluster5,r1000_cluster6,r1000_cluster7,r1000_cluster8
1987-06-01,86.21753,83.44479,88.63684,40.374268,78.68488,85.74523,81.08974,65.20034
1987-07-01,84.98377,83.391785,86.415115,31.744417,75.45914,87.925186,80.89375,77.851135
1987-08-01,85.546036,83.4705,83.05603,44.73899,73.42858,83.22792,82.64478,80.46323
1987-09-01,83.084946,83.502625,83.87372,40.98793,72.54664,76.02139,83.74038,67.65821
1987-10-01,84.45525,81.356415,75.793274,49.0507,81.600586,77.02221,78.119415,70.53697
1987-11-01,84.42634,84.08095,66.51281,43.193584,79.86081,71.910484,80.65921,68.80361
1987-12-01,82.55643,83.57492,69.87833,48.819374,55.788155,60.896664,75.298485,59.402664
1988-01-01,80.49019,81.770256,67.55436,50.47704,79.597725,64.76134,72.725105,52.732628
1988-02-01,79.3453,82.67412,65.16849,40.58177,83.44607,62.867294,67.05764,47.14496
1988-03-01,81.99663,80.599304,66.87524,40.819542,76.71677,69.62103,83.144775,52.20334
1988-04-01,82.97052,81.51457,73.8358,21.572952,70.77895,66.24986,80.612335,47.296417
1988-05-01,84.618645,82.69855,76.14188,36.37677,82.29791,76.90568,83.39233,66.43063
1988-06-01,83.25064,82.85489,87.01918,36.621056,76.09464,87.48007,81.60414,66.79381
1988-07-01,82.46078,84.07959,95.23212,54.756954,65.096825,89.804054,81.65137,79.7101
1988-08-01,83.20178,82.51126,83.59915,58.642754,73.89606,83.231094,83.4021,76.64836
1988-09-01,83.174095,82.53732,83.24901,41.148518,78.45609,80.89245,81.20514,67.753044
1988-10-01,83.68059,81.022736,70.238266,40.806515,68.89305,70.58352,83.921616,61.224056
1988-11-01,83.66756,85.53717,67.412674,37.083572,47.776848,55.033813,77.45777,42.462784
1988-12-01,83.970474,81.58297,67.33124,52.698425,57.442486,56.400196,78.52937,54.286293
