,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1990-01-01,1.4941224,-15.934128,0.36175382,-6.251238,-2.3057451,-0.5780152,-0.5899643
1990-02-01,1.585003,-17.617065,0.6843057,-7.5884356,-2.4096007,-0.19437131,-0.19474435
1990-03-01,2.1222703,-17.574963,0.95480114,-7.099457,-2.559632,0.7973262,0.3277533
1990-04-01,2.210048,-15.638327,1.6824394,-5.234103,-0.853453,1.4355724,1.4753299
1990-05-01,2.301074,-11.021221,2.0817063,-1.3597829,1.1501877,2.4750247,1.6909068
1990-06-01,1.8528246,-5.6862917,1.139913,2.3351953,2.2196748,2.309953,-0.07040975
1990-07-01,2.0056286,-1.1080164,0.3033633,5.8773375,1.8617759,2.147145,-0.9567228
1990-08-01,1.7932191,-0.90441144,0.13990529,6.601218,0.7594828,2.1041393,-1.0670422
1990-09-01,1.8741145,-2.4128969,0.504964,5.6521873,1.1544183,2.413994,-0.62725765
1990-10-01,1.8433025,-5.0683312,1.2018752,4.107171,1.3778102,2.2022147,0.20995465
1990-11-01,1.8659759,-8.705247,1.3978276,0.88215566,0.60641134,1.3129926,0.56758475
1990-12-01,1.6002165,-12.489919,0.7263331,-2.4588099,-1.3570899,0.15676084,-0.34068054
1991-01-01,1.4180743,-15.719417,-0.018453054,-5.337927,-2.8719413,-0.66750264,-0.8935735
1991-02-01,1.632475,-17.496899,0.02618734,-7.3767138,-3.176494,-0.093117826,-0.9693396
1991-03-01,2.1640198,-18.636166,0.7029786,-7.55957,-2.7530925,0.91495836,-0.109373726
1991-04-01,2.489066,-15.377769,2.0750608,-5.077247,-0.95502496,1.7711436,1.6704987
1991-05-01,2.5164812,-11.259919,2.64958,-2.6622581,0.73406255,1.9800982,2.2166903
1991-06-01,1.844796,-5.2624674,1.3234353,-0.15308186,1.623826,2.4075534,0.23380813
1991-07-01,2.2662,-0.45662817,0.6855273,3.309434,1.2330966,2.4194624,-0.952616
1991-08-01,2.2510302,1.4006734,0.34827685,5.4407716,0.7414572,2.045529,-1.5470268
1991-09-01,2.0813515,-1.508226,0.79705864,5.183586,0.6823643,2.580593,-1.0451041
1991-10-01,1.8153521,-4.0169373,1.3082901,2.8406134,1.0020078,2.1046479,0.3815629
1991-11-01,1.6526057,-9.296069,1.2040924,0.1756273,0.02573234,1.1695435,0.36020052
1991-12-01,1.2948605,-13.065517,0.33650178,-3.5433826,-1.5100957,0.038110204,-0.47059235
1992-01-01,1.0478575,-15.917994,-0.09294693,-7.467155,-2.929602,-0.9489397,-0.9045333
