,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9
1983-11-01,28.939789,13.555084,24.19867,28.637848,28.24237,27.849762,16.536713,19.57959,23.123627
1983-12-01,29.149597,11.329712,21.128296,27.2435,27.37854,28.164215,14.28241,16.369354,20.26883
1984-01-01,28.834045,9.990936,18.996002,26.528076,26.993835,28.193085,13.680756,13.654053,18.207062
1984-02-01,28.384125,9.006989,18.091736,26.591919,26.97403,28.099548,13.46991,11.844025,17.15628
1984-03-01,28.338593,8.166077,18.13379,27.291779,27.265564,27.684265,12.664154,11.604462,17.044922
1984-04-01,28.582611,9.017395,18.734161,28.691986,27.332855,27.8768,12.1276245,12.88736,17.568085
1984-05-01,28.951324,10.531433,20.753052,29.499237,28.132202,27.620422,13.848053,15.6006775,19.357788
1984-06-01,29.080017,14.629578,23.047607,29.095367,28.364319,28.10846,15.526428,20.150208,21.893402
1984-07-01,29.089417,18.237732,26.198456,28.444519,29.163666,28.654877,18.542633,24.30133,25.884155
1984-08-01,29.306702,22.000824,27.567474,27.806519,29.508636,28.80484,21.035156,27.066101,28.006989
1984-09-01,29.647247,19.469666,26.251892,28.310394,29.802643,29.568054,21.606354,24.784882,27.187347
1984-10-01,29.325012,17.44632,25.100647,28.307404,28.794922,28.807312,20.361053,21.90924,24.340912
1984-11-01,29.06073,13.361542,23.767761,27.98175,28.708313,28.9068,17.924438,18.97522,22.114655
1984-12-01,28.834534,10.622498,21.546448,28.010437,27.848114,28.756317,15.284882,16.785065,20.092285
1985-01-01,28.487823,8.858887,19.19519,27.273224,26.846191,29.100403,13.815033,13.695038,18.360748
1985-02-01,28.539764,7.695221,18.225128,27.199127,26.795776,28.720245,12.494049,12.700775,17.68515
1985-03-01,28.447998,8.285126,18.949127,28.073364,26.275452,28.146484,12.5711975,12.659943,17.42398
1985-04-01,28.713196,9.824402,18.742432,28.846283,26.546204,28.501434,13.622406,14.101898,18.215057
1985-05-01,29.131653,12.038788,21.043518,29.716522,27.249542,28.919403,14.7699585,16.817932,19.646942
1985-06-01,29.344421,13.882568,24.79364,29.190155,27.933716,29.106445,17.009521,20.0271,22.05542
1985-07-01,29.336365,16.768036,25.449585,28.378418,28.410675,29.274841,20.399689,24.121582,24.701385
1985-08-01,29.4982,19.455353,26.855774,28.187836,28.678894,29.461395,23.059753,26.840149,27.147705
1985-09-01,29.528442,19.328278,26.824524,27.988678,28.880066,29.415009,21.344025,25.543365,26.964172
1985-10-01,29.255707,16.69342,24.63382,28.365295,29.113007,28.904266,18.960724,21.94046,25.007935
1985-11-01,29.19217,14.213837,22.781952,28.787811,28.524109,29.260742,17.47641,18.469666,22.714905
1985-12-01,28.734863,11.70401,20.95578,28.049683,27.324677,29.443237,15.864014,15.218658,20.29834
1986-01-01,28.395416,10.399506,19.482727,26.431915,26.798065,28.837128,14.251007,13.169861,18.609283
1986-02-01,28.388092,8.823669,18.095184,26.426666,26.655914,28.623627,12.835693,12.137451,17.750519
1986-03-01,28.320404,8.938538,17.742126,27.07611,26.457092,28.700226,12.617462,11.612366,16.880249
1986-04-01,28.426392,9.575378,18.46344,28.394897,26.777618,28.805145,13.548065,13.5989685,17.23172
1986-05-01,28.966187,11.684753,19.816864,29.600922,26.64383,29.618774,14.707397,16.164185,19.269745
1986-06-01,29.02597,14.117767,24.495667,28.809326,27.364105,29.682251,17.490875,19.23407,21.569
1986-07-01,28.922638,16.595398,26.759247,28.8833,28.118988,29.702698,20.00467,22.066315,24.535004
1986-08-01,29.096283,20.888092,26.108765,28.272675,28.394897,30.247223,23.149567,26.528961,26.42038
