,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6
1982-01-01,0.2896728,0.32120824,0.45919198,-0.12654059,0.14397149,0.2679839
1982-02-01,0.14610052,0.18495417,0.25574246,-0.19174027,-0.06719556,0.24802485
1982-03-01,0.21569118,0.5057632,0.41075793,-0.22540458,-0.01570115,0.05588541
1982-04-01,0.08010244,0.5508707,-0.10964189,-0.48966283,-0.050696064,0.033132076
1982-05-01,-0.11523042,0.18003091,-0.20491338,0.10046072,-0.094339944,-0.0770421
1982-06-01,-0.30391032,0.021023655,0.31189403,-0.06985684,-0.14729802,0.16246696
1982-07-01,-0.3680455,-0.3198776,-0.560318,-0.1792326,0.0051893713,0.14370537
1982-08-01,0.23857757,-0.16446283,-0.48447356,-0.24762568,0.19307089,0.14530206
1982-09-01,-0.11017418,-0.17497465,-0.5991717,-0.068260096,0.3681786,-0.1478303
1982-10-01,-0.091678716,0.06001029,-0.20744142,-0.14889479,-0.098730944,0.009447289
1982-11-01,0.019692898,0.2574722,-0.5871963,-0.1133676,0.09394076,-0.28927365
1982-12-01,0.55606014,0.21875152,-0.44109577,-0.38574255,0.05655074,0.2597342
1983-01-01,0.3633811,0.54352903,-0.05137503,-0.13856502,0.3144206,0.14647922
1983-02-01,0.098189354,0.24641237,0.10918865,-0.21556053,-0.25338754,0.025352191
1983-03-01,-0.2945681,-0.18712318,-0.23729095,-0.028839773,-0.04668019,0.15707608
1983-04-01,-0.31388408,0.0025486231,-0.12676087,0.21556053,-0.0032193183,-0.11267624
1983-05-01,-0.22870608,-0.11790774,0.36525908,0.25446066,0.053521227,-0.2300475
1983-06-01,-0.012743187,-0.066800974,-0.063313365,0.071495816,0.23621789,0.27069145
1983-07-01,-0.33091965,-0.18537936,0.27243537,-0.10972528,-0.08879967,0.097652815
1983-08-01,-0.50771415,-0.6572785,-0.20442705,-0.14178436,-0.0553992,0.2865197
1983-09-01,-0.05110674,-0.1600272,-0.14406481,0.017169738,-0.33990687,0.27283764
1983-10-01,-0.13668709,-0.01757214,0.4307186,0.0732396,0.08330002,-0.14701578
1983-11-01,0.2571434,0.17156315,0.09054347,-0.079544164,-0.32179818,-0.26371625
1983-12-01,0.35761318,0.30503088,-0.08772659,-0.25754586,0.0741786,0.29081222
1984-01-01,-0.332429,0.1700615,0.16515312,-0.45128614,0.3304391,0.14525528
1984-02-01,-0.072826624,0.23731646,0.059428643,-0.36585748,0.21211243,0.36532688
1984-03-01,0.15082665,0.41401052,0.019765377,-0.50965357,-0.15666342,0.075081825
1984-04-01,0.21569407,0.47901067,0.28149006,-0.26397985,-0.3503371,-0.04523473
1984-05-01,-0.20534714,0.17802058,-0.35935745,0.0072959187,-0.40857187,0.079989865
1984-06-01,-0.0924593,-0.15706137,-0.6047659,-0.09524498,-0.20216346,0.3624085
1984-07-01,0.013663292,-0.13703077,-0.18929596,-0.08901024,0.10917357,0.30218396
1984-08-01,-0.0038469792,-0.07096946,-0.24978594,-0.085561275,-0.21582675,-0.032234717
1984-09-01,0.00212245,-0.15122464,-0.02679596,0.091398045,-0.36002076,0.12204094
1984-10-01,-0.3105411,-0.23201044,-0.018306136,-0.45327592,-0.042581677,0.14605117
1984-11-01,-0.45486778,0.026000023,0.55250055,-0.23731656,-0.011142826,-0.18743896
1984-12-01,0.40857187,0.49413306,-0.960807,-0.3539187,0.08980618,0.18054104
1985-01-01,0.40972453,0.4363266,0.3305869,-0.29088438,-0.08421745,0.28513622
1985-02-01,0.1868825,0.3865981,0.71250635,-0.31227294,0.44568405,-0.01617508
1985-03-01,0.4447483,0.5379222,-0.13702044,-0.787901,-0.20546386,0.008288098
1985-04-01,0.21776226,0.36574432,-0.16001311,-0.21401925,-0.29703358,-0.1044029
1985-05-01,0.04611907,0.44327784,-0.25265232,0.2279218,0.04384656,-0.13367847
1985-06-01,-0.3954209,-0.03823204,-0.5190735,0.0056144716,0.028339768,0.049862076
1985-07-01,-0.04652009,-0.064700365,-0.48511916,-0.28901282,-0.37737435,0.116968654
1985-08-01,-0.2537218,-0.22605033,0.027404118,-0.3864645,-0.6093065,0.22912493
1985-09-01,-0.30411854,-0.29783565,-0.25505847,-0.1453085,-0.34141484,0.2676243
1985-10-01,0.11523084,0.09932308,-0.22765443,-0.22310936,-0.3304532,0.21923271
1985-11-01,-0.15640382,0.22671871,-0.32269987,-0.3367361,-0.012031066,0.16856854
1985-12-01,0.0165761,0.103199765,-0.46212655,-0.27537766,0.19904725,-0.19797781
1986-01-01,-0.26348695,0.3054791,-0.07944794,-0.37896505,0.20153575,0.19129701
1986-02-01,0.05132351,0.55574626,0.63947105,-0.4380649,0.2002397,-0.09150119
1986-03-01,0.040047932,0.22745676,0.46489316,-0.18676081,0.15591483,-0.19933248
1986-04-01,-0.06609855,0.5789456,0.20166545,-0.22745678,-0.37261438,-0.014774966
1986-05-01,-0.08126235,0.3733921,-0.43288064,-0.03201244,-0.03123479,-0.1587661
1986-06-01,-0.19026013,0.31830987,-0.27891,-0.00012960433,0.04549136,0.20607194
1986-07-01,0.05080519,0.1341412,-0.29472178,-0.21073775,-0.63908213,0.011664438
1986-08-01,-0.31519935,-0.1582477,0.026698684,-0.34591576,-0.09474126,0.2735962
1986-09-01,-0.25052646,0.036807816,-0.5179016,-0.14088066,-0.01736703,0.088779405
1986-10-01,0.074522875,-0.014256561,0.03551178,-0.2072384,-0.17418912,0.10523926
1986-11-01,-0.38609323,0.19440751,-0.3310112,-0.43599123,-0.32556778,0.44908133
1986-12-01,0.16407986,0.26957837,-0.44493398,-0.16563518,0.21112657,0.030975604
1987-01-01,0.13793425,-0.10155754,-0.151297,-0.23013778,0.17713186,-0.12783775
