,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11,w_cluster12
1975-02-01,0.0101697445,-0.10317755,-0.010904491,0.036768675,0.3242346,-0.057223976,-0.09304285,0.022865534,0.48185244,0.019975126,0.035012484,0.051001072
1975-03-01,-0.0030748248,-0.011636257,-0.008087277,0.035780787,0.13716406,-0.072663784,-0.1190564,0.010718524,0.44303337,0.008925796,0.022536218,0.018511653
1975-04-01,-0.02729559,0.015035808,0.013535738,0.035634458,0.024219215,-0.01405102,-0.07423705,0.018511653,0.21205813,0.026780367,0.028719485,-0.043467164
1975-05-01,-0.0364058,-0.053235948,-0.057772756,0.031975746,-0.026454091,-0.007392168,-0.055870235,0.025975406,0.12600493,-0.00040400028,0.006401241,-0.032673895
1975-06-01,-0.120812595,-0.033478856,-0.12114185,0.031134248,-0.061504662,-0.026527286,-0.13570356,0.011011243,-0.092677,0.015950501,0.017487168,-0.068822145
1975-07-01,-0.066773236,0.010938048,-0.07299304,0.003766954,-0.101018906,-0.014965713,-0.031612873,0.025024176,-0.10859245,-0.0005503297,-0.037064373,-0.017526805
1975-08-01,-0.095969856,-0.0006235242,-0.03834492,-0.00025761127,-0.040613353,0.020121455,-0.019758642,0.020780027,-0.05374819,-0.040064573,-0.040686548,-0.005782306
1975-09-01,-0.09318924,-0.007392168,-0.06713909,-0.03519845,-0.10998279,-0.017636597,-0.03545457,0.02034098,-0.039771855,-0.0034041405,-0.063224256,-0.0527969
1975-10-01,-0.07365161,-0.034613073,-0.08598155,-0.017014563,-0.07731038,-0.0068799257,0.0058158636,0.023633838,0.015401721,-0.022283137,-0.014526665,0.0040962696
1975-11-01,-0.07178569,-0.0019040704,-0.0418939,0.005852461,-0.091213524,-0.0040993094,-0.099262714,0.030439079,0.38456696,-0.014929116,-0.03329593,0.051001072
1975-12-01,-0.09355509,-0.0771274,-0.063773096,0.028024316,0.10105243,-0.05400431,-0.036113143,0.0205971,0.34962615,0.016609073,0.027621865,0.04053712
1976-01-01,-0.028489947,-0.0297935,-0.07159889,0.05228108,0.6317844,0.031657696,-0.15050781,0.025186718,0.30595344,0.016667366,0.02295214,0.09082776
1976-02-01,0.001956284,-0.03556615,-0.0043284893,0.027374744,0.07527876,0.025093615,-0.0054457784,0.020950317,0.42354867,0.04874301,0.013268888,-0.030445218
1976-03-01,-0.037195563,-0.08696169,0.00488919,0.010335982,0.049394727,0.0007458925,-0.08351672,0.005215049,0.5363488,0.041154683,0.023557305,-0.02551049
1976-04-01,-0.11326468,-0.058331013,-0.004235387,0.041340947,0.046741188,-0.048135698,-0.060705304,-0.006237209,0.3013446,-0.0061441064,0.013967216,-0.028908968
1976-05-01,-0.05204624,-0.02206552,-0.043480337,0.023464203,-0.043480337,0.00758934,-0.072250664,-0.0025594234,-0.047158062,0.009172142,-0.081608,-0.057772398
1976-06-01,-0.042968214,-0.017177343,-0.034914434,0.024302185,-0.11084384,0.00796175,-0.08738071,-0.01475656,-0.119270146,0.01527071,-0.021832764,-0.12853438
1976-07-01,-0.04096639,-0.05400151,-0.027698576,-0.021553457,-0.052744567,0.0034925938,-0.078861296,-0.029607236,-0.077697456,-0.05749309,-0.08831173,0.010568798
1976-08-01,-0.10549015,-0.01936537,-0.0606122,-0.04478383,-0.1487853,-0.021553457,-0.09743631,-0.021832764,-0.07062125,0.011406779,-0.03980255,0.023231447
1976-09-01,-0.090360105,-0.016013503,-0.009542525,-0.036031723,-0.11293876,0.022905588,-0.032726347,-0.026441574,-0.07248342,-0.0038163662,-0.13388807,-0.010287404
1976-10-01,-0.017922223,-0.051115155,-0.05712062,0.027654052,0.040502965,0.008380771,-0.10330212,-0.007866561,0.004423678,0.013036132,0.0067513585,-0.0036301613
1976-11-01,-0.023369014,-0.009589076,-0.05861038,0.025233269,0.09227091,0.0060995817,-0.02630192,0.009404957,0.27727622,-0.0030249953,0.00079244375,0.07104236
1976-12-01,-0.056515455,0.0060064793,-0.01862055,0.03417164,0.5641415,-0.025976062,-0.042363048,-0.03891802,0.5553894,0.017365634,0.031005979,0.032495677
1977-01-01,-0.022649854,-0.007947832,-0.040665656,0.034104586,0.6828135,0.13001776,-0.039545506,-0.08449167,0.51880443,0.0016668141,0.022716373,-0.014715433
1977-02-01,-0.0010402203,-0.014155358,-0.07693064,0.042039007,0.54727495,0.005540669,-0.14675352,-0.018776,0.33435243,0.016648859,0.036484927,0.03237769
1977-03-01,0.0027402937,-0.057047904,0.012961686,0.03699833,0.0044671893,0.030417413,-0.017889202,-0.060781747,0.3252512,0.040732175,0.02467665,0.028223783
1977-04-01,0.024116546,-0.050233632,0.008574426,0.032004297,0.090672344,0.0064741373,-0.06675589,-0.0731501,0.21766977,0.031677604,0.026916951,-0.05784136
1977-05-01,-0.06460893,-0.028157264,-0.042905957,0.034244627,0.041852325,-0.12701085,-0.079404294,-0.010281503,0.06649572,-0.019802809,0.026590228,-0.065075666
1977-06-01,-0.058168054,-0.012288421,-0.055274338,0.03009072,-0.04537964,0.001760155,-0.06782937,-0.011541665,-0.051353782,0.026310205,0.013241738,-0.08248472
1977-07-01,-0.10792157,-0.066149145,-0.06470227,3.325939e-05,-0.06857616,-0.045286298,-0.0745503,-0.039312124,-0.108388275,-0.02110964,-0.00878796,0.0040471554
1977-08-01,-0.08467835,0.02901724,-0.08593854,-0.021949768,-0.09863362,-0.015602231,-0.082671404,-0.0025337636,-0.092752814,-0.0866853,-0.006781012,0.008154362
1977-09-01,-0.058401436,0.024956673,-0.054994285,-0.016068965,-0.110721916,0.014828622,-0.10316089,-0.04225254,-0.08486506,-0.008554578,-0.085098416,-0.04649979
1977-10-01,-0.056021094,-0.050420314,-0.06992966,-0.013968676,0.012261599,0.030650795,-0.09037247,-0.017889202,0.04003209,0.039705366,-0.112962216,0.039565355
