,mgv850GLB_cluster1,mgv850GLB_cluster2,mgv850GLB_cluster3,mgv850GLB_cluster4,mgv850GLB_cluster5,mgv850GLB_cluster6,mgv850GLB_cluster7,mgv850GLB_cluster8
1980-02-01,0.29333436,0.6103834,-0.31556687,-0.5369488,0.101461075,0.65484834,-0.09903572,0.08434878
1980-03-01,0.14457867,0.19052584,-0.28875312,-0.6504019,0.06386793,0.7117097,-0.10941088,0.13339505
1980-04-01,0.32055235,0.119920805,-0.13635938,-0.5152552,0.031799227,0.6917679,-0.113453165,0.07073979
1980-05-01,0.5192975,-0.15333693,-0.032742403,-0.35679808,-0.018324982,0.25115997,-0.23216128,0.11224048
1980-06-01,0.4135247,-1.4478078,0.07262619,-0.37956956,0.008893001,0.46499625,-0.30007148,0.08448353
1980-07-01,0.443707,-0.98281157,-0.0037727952,-0.23054437,0.07060504,0.5439553,-0.32338196,0.0130700115
1980-08-01,0.43656558,-1.0237733,0.0136089865,-0.2611309,0.054301202,0.5121561,-0.28093806,0.07653372
1980-09-01,0.23526034,-0.8508986,-0.07666846,-0.45098305,0.006063414,0.3512736,-0.18554036,0.06858392
1980-10-01,0.026274776,-0.090412185,-0.21504898,-0.29104373,0.02991283,0.47227234,-0.16128674,0.08084549
1980-11-01,0.18015067,0.31314144,-0.1754347,-0.2382247,0.027891695,0.7301694,-0.036110986,0.07909383
1980-12-01,0.1519895,0.55527365,-0.24226694,-0.385094,0.052549552,0.88660544,-0.057804514,0.07464732
1981-01-01,0.15641546,0.4726282,-0.17543893,-0.4365541,0.07764411,0.69132805,-0.08567615,0.09920397
1981-02-01,0.02832384,0.11921396,-0.2923982,-0.5528089,0.08384428,0.46008682,-0.06496167,0.11540918
1981-03-01,0.120341256,-0.018177986,-0.23081847,-0.44500893,0.07045736,0.58056897,-0.041006185,0.10822258
1981-04-01,0.18375286,0.09469471,-0.17092972,-0.38582474,0.014936924,0.4939064,-0.09497652,0.09539938
1981-05-01,0.61241573,-0.4507865,-0.11230917,-0.29127088,0.023814583,0.26407424,-0.19432154,0.11850934
1981-06-01,0.37934265,-0.9238375,0.0171916,-0.08299885,-0.0018318177,0.49122906,-0.30395323,0.07257118
1981-07-01,0.4056937,-0.8859314,-0.027055645,-0.2581559,0.0009863854,0.47713748,-0.36031914,0.09201737
1981-08-01,0.3148037,-0.8554939,-0.06820278,-0.5764824,0.05509777,0.5733824,-0.28126597,0.14063302
1981-09-01,0.32537228,-0.70386946,-0.07454395,-0.35595083,0.004932022,0.52293485,-0.276193,0.105122425
1981-10-01,0.15627456,-0.13668737,-0.099908546,-0.5346308,0.031987667,0.44627723,-0.17022505,0.035369586
1981-11-01,0.12611875,0.47995585,-0.22377272,-0.30508056,-0.00014095307,0.519412,-0.056225013,0.075248525
1981-12-01,0.09554024,0.5701414,-0.33143163,-0.3594737,0.068343684,0.5264577,-0.084267,0.10047226
1982-01-01,0.09713419,0.44495448,-0.31309152,-0.40916118,0.049365472,0.68965286,-0.019027662,0.12201653
1982-02-01,0.09261014,0.5088236,-0.22646907,-0.40942734,0.047768734,0.5635115,-0.021821927,0.114698194
1982-03-01,0.19426842,0.40822983,-0.20544548,-0.5744225,0.055752374,0.63443273,-0.15275352,0.10125907
1982-04-01,0.07677595,-0.25986728,-0.21143325,-0.333982,0.07105434,0.46384913,-0.16393058,0.11203699
1982-05-01,0.4279228,-0.1548825,-0.1089766,-0.07504616,0.013039947,0.26638728,-0.24163797,0.096735045
1982-06-01,0.45027694,-1.0306871,-0.022753358,-0.04470835,0.077707365,0.45094222,-0.36924306,0.06945763
1982-07-01,0.4496116,-1.0437272,-0.072118804,-0.27343947,0.07238495,0.5391614,-0.36152554,0.065598845
1982-08-01,0.4670426,-1.1710659,-0.16353142,-0.2993863,0.033265136,0.65492404,-0.33823997,0.12201655
1982-09-01,0.27703208,-0.93767774,-0.09141262,-0.1994578,-0.025680685,0.23378739,-0.24283555,0.04484143
1982-10-01,0.26944765,0.11110556,-0.20438103,-0.26159704,0.021688867,0.26918152,-0.15035841,0.11004107
1982-11-01,0.12986708,0.37509766,-0.11975451,-0.364719,0.038720608,0.47782046,-0.0051893713,0.13718545
1982-12-01,0.026612092,0.52811736,-0.33651012,-0.33930445,0.005854654,0.46810704,0.043643903,0.112569235
1983-01-01,0.12998018,0.4906785,-0.27002072,-0.33038306,0.05070435,0.35318655,0.006036234,0.07243478
1983-02-01,0.02253526,0.09188485,-0.24319306,-0.35788146,0.060362317,0.44091314,-0.028437365,0.08866553
1983-03-01,0.007645896,0.29725084,-0.29470223,-0.53360283,0.08209275,0.4071103,-0.11361529,0.09443349
1983-04-01,0.25875312,0.25539967,-0.12850466,-0.56472296,0.07203236,0.5188476,-0.21207292,0.060496457
1983-05-01,0.24493685,0.10704251,-0.13373606,-0.22012123,0.06130129,0.2545949,-0.31576198,-0.0048289835
1983-06-01,0.42065826,-0.81247675,-0.18014798,0.08115377,0.06988613,0.49416614,-0.33789483,-0.021462148
1983-07-01,0.43447447,-1.1405795,-0.0016096592,-0.23836407,0.07028856,0.46559468,-0.3644542,0.0617037
1983-08-01,0.25177792,-1.1729068,-0.04721675,-0.119249105,-0.029912878,0.35841802,-0.38994056,0.0383636
1983-09-01,0.3032871,-1.1271656,-0.106908366,-0.37438047,-0.04372914,0.17746516,-0.3472845,0.030181158
1983-10-01,0.22548676,-0.05969162,-0.13722365,-0.4289748,0.031388406,0.22870609,-0.24855857,0.106505945
1983-11-01,0.06505716,0.46143627,-0.3259565,-0.24480271,0.032461513,0.542456,-0.10301834,0.09671384
1983-12-01,0.011535913,0.6414501,-0.30596986,-0.34607726,0.024010789,0.52542037,0.06425233,0.12917535
