,mgu200GLB_cluster1,mgu200GLB_cluster2,mgu200GLB_cluster3,mgu200GLB_cluster4,mgu200GLB_cluster5,mgu200GLB_cluster6,mgu200GLB_cluster7,mgu200GLB_cluster8
1977-01-01,1.0505295,0.05555153,-1.1630485,3.5627418,-1.1818012,-0.32517165,-2.780772,1.0806053
1977-02-01,0.51447296,-0.24166794,-0.5923157,3.2170472,-0.83256835,0.23812942,-2.6707294,0.9419025
1977-03-01,0.8824585,0.8194767,-0.04989014,1.3190882,-1.2996273,-0.7554329,-0.538887,1.7419183
1977-04-01,-0.16948548,1.1435875,-0.8513214,2.126535,-2.3232656,0.056259155,-1.43833,1.0706978
1977-05-01,-0.3502945,2.3912017,-1.2415988,2.1014125,-2.9010746,-0.042105865,-1.7751789,0.35772476
1977-06-01,-0.29509658,1.6594753,-1.5504948,1.9768631,-2.5755486,0.18717805,1.6060467,0.3502945
1977-07-01,-1.1764939,3.4753451,-1.4701751,0.44724426,-2.8455226,0.01662979,3.5606189,0.5208416
1977-08-01,-0.45962828,2.5879326,-1.3183807,0.6340683,-2.2673602,-0.15533295,2.4425073,0.46175155
1977-09-01,-0.4833351,2.650561,-1.3941009,1.3703941,-2.6116393,-0.01769104,2.3855405,0.5364105
1977-10-01,-0.11074982,0.35135573,-1.5158195,1.4730057,-2.5971322,-0.16205597,-0.2862503,0.5406567
1977-11-01,0.27598953,0.111811064,-1.1924168,2.7046974,-2.7652028,-0.2430832,-1.7100731,0.30464974
1977-12-01,1.5883553,-0.013445663,-0.96277845,2.6197777,-2.1261806,-0.7901085,-2.5921788,0.50633466
1978-01-01,0.8437294,-0.2122078,-0.6104374,3.5595798,-0.9114052,-0.33667603,-3.3324094,2.0040708
1978-02-01,1.0168285,-0.44788057,-0.913105,2.6532764,-0.12786865,-0.39720917,-2.081948,1.7034432
1978-03-01,0.8641342,-0.28362387,-0.7525894,3.370498,-1.3494232,-0.1421524,-3.0732713,1.1651016
1978-04-01,-0.22071,0.7267435,-0.8216244,2.4213443,-2.7920277,-0.21492843,-0.21696892,0.9056236
1978-05-01,-1.1416366,0.22819138,-1.2664448,1.0263507,-3.1783547,0.028226089,-1.7309895,0.56078607
1978-06-01,-1.2746063,3.6813273,-0.9855415,0.6594078,-3.5561795,0.12582855,2.007471,0.2176487
1978-07-01,-0.7665321,3.7938924,-1.2388989,0.21696854,-2.7012272,-0.31763154,2.5209866,0.4978718
1978-08-01,-1.1722435,2.3417664,-1.2494408,0.70531845,-2.9069736,-0.009861755,3.566382,0.17445946
1978-09-01,-0.41183242,2.9756691,-1.1038879,1.3130356,-2.8512008,-0.23465271,2.9511833,0.9865616
1978-10-01,-0.38496628,0.4295166,-1.2790279,1.916331,-2.7658417,-0.30504912,-1.031112,0.37850532
1978-11-01,0.8879398,-0.42645606,-1.0263507,3.1841354,-2.1353402,0.1720787,-3.316085,0.52473795
1978-12-01,0.585952,0.75939065,-1.3470424,3.0634086,-2.449571,-0.6121376,-0.2105072,1.5153809
1979-01-01,1.2210766,-2.033641,-0.7893742,2.3963668,-1.1972916,-0.121305086,-0.93327487,1.2219687
1979-02-01,0.65974426,0.16352387,-0.099600986,4.1386385,-1.3495175,-0.3077217,-2.5545392,1.9726918
1979-03-01,0.49919358,0.6020647,-0.73496515,3.736667,-1.2954056,-0.35291442,-2.6238136,1.5279068
1979-04-01,-0.24915084,1.2754856,-1.473201,2.6475987,-2.5381866,-0.2613407,0.48403054,0.82386243
1979-05-01,-0.5084103,1.823439,-1.2525921,2.2566285,-3.0052698,0.10762863,-2.0262084,1.0117661
1979-06-01,-0.6103897,1.057553,-1.6120472,1.3964932,-2.2706022,0.09246521,1.5510972,0.41594505
1979-07-01,-1.1363415,3.0370822,-1.3899521,0.35648194,-2.734415,0.07254486,3.330831,0.30118102
1979-08-01,-1.3096771,3.1233044,-1.1342605,0.72485656,-2.9785113,-0.04103012,1.102745,0.49919358
1979-09-01,-0.58095586,1.6501033,-1.1797497,1.9584205,-2.7225223,0.03954315,0.0454895,0.30415422
1979-10-01,-0.6532032,0.8922451,-1.4357388,2.1977599,-2.3788254,-0.03835373,0.040732194,0.006243515
1979-11-01,0.40494424,0.5559807,-1.0554718,2.5081575,-3.1539276,-0.2515293,-1.6019385,0.6258503
1979-12-01,1.3542744,-0.724559,-0.9377346,3.0314338,-1.8876591,-0.42308044,-2.691899,0.78550875
1980-01-01,0.83632696,0.7809547,-1.1253445,3.8767495,-0.49058685,-0.21001053,-2.1666172,1.6280864
1980-02-01,0.7353737,-0.9298523,-0.95990217,3.3372052,-0.8856224,-0.4774185,-3.0549407,1.2097542
1980-03-01,0.50578004,-0.02768631,-0.59153974,3.0464997,-0.74921685,-0.7769035,-2.1932912,1.3860004
1980-04-01,-0.20899734,0.72288114,-1.1776783,2.2206395,-2.5957541,-0.20359497,-0.192453,1.1874698
1980-05-01,-0.49024886,2.0822082,-1.5068744,1.9025853,-3.0299556,0.12897721,-1.5018101,1.0412728
1980-06-01,-1.3586518,2.2354956,-1.2712036,0.9217491,-3.3483474,0.060774993,1.7742828,0.3521557
1980-07-01,-1.3535874,3.424991,-0.891362,0.12931518,-2.5667176,-0.15227433,2.2716224,0.5179356
1980-08-01,-0.86806566,1.3637161,-1.2860596,0.29678267,-2.8726163,0.3653229,2.5549004,0.7205181
1980-09-01,-0.9730698,0.61855125,-1.3191487,0.5078064,-2.0791695,-0.2819275,1.1111637,0.76306
1980-10-01,-0.2815895,1.2452061,-0.7404377,2.8412163,-3.1899955,-0.1532875,-0.3521557,0.7441524
1980-11-01,0.26268196,-0.8231594,-1.6628628,2.885447,-2.9631035,-0.36701164,-0.8977772,1.203001
1980-12-01,1.017976,0.33324796,-1.0723355,2.7429638,-1.7013534,-0.84409255,-1.1938851,1.02169
1981-01-01,0.7612656,-2.3491325,-1.5610726,3.0997536,-1.0082916,-0.059095003,-2.280127,1.9013294
1981-02-01,1.0171006,-1.1180404,-0.58544767,2.6662655,-0.50102615,-0.5692978,-2.1266994,1.525835
1981-03-01,0.37769622,1.0126965,-0.42651445,1.9828148,-2.1751502,-0.0946991,-1.9615257,1.3610287
