,vo600GLB_cluster1,vo600GLB_cluster2,vo600GLB_cluster3,vo600GLB_cluster4,vo600GLB_cluster5,vo600GLB_cluster6,vo600GLB_cluster7,vo600GLB_cluster8
1976-08-01,1.4023892e-05,5.905822e-06,3.4466357e-06,7.860277e-05,-1.1546195e-05,-9.717805e-06,-3.6613477e-05,-4.986934e-05
1976-09-01,1.4599835e-05,6.353781e-06,2.8066934e-06,0.00010181423,-9.635522e-06,-5.384507e-06,-4.616684e-05,3.163133e-05
1976-10-01,1.0111129e-05,4.955058e-06,7.040435e-07,0.00010750968,-7.624294e-06,-4.4885965e-06,-5.6378412e-05,0.00014420555
1976-11-01,1.3932477e-05,4.0317173e-06,-2.568784e-06,6.876601e-05,-1.2506105e-05,-2.8978902e-06,-5.9770085e-05,0.00016300144
1976-12-01,1.1354437e-05,5.85198e-07,-1.0266318e-05,7.1106355e-05,-1.0997675e-05,6.410846e-08,-6.043745e-05,0.00012079296
1977-01-01,1.2311893e-05,3.625115e-06,-1.1576754e-05,5.7042333e-05,-2.8626178e-05,1.388591e-06,-4.669663e-05,0.00022666145
1977-02-01,7.774022e-06,4.8649235e-06,-1.0734006e-05,5.6264413e-05,-1.5174635e-05,-3.53824e-06,-4.325271e-05,0.00016138903
1977-03-01,8.316947e-06,4.5488923e-06,-6.0502753e-06,5.179947e-05,-5.110287e-06,-4.097368e-06,-4.8754875e-05,0.00016773396
1977-04-01,5.1242314e-06,-5.7504512e-06,-1.4753263e-05,7.448072e-05,-1.13174465e-05,-5.474936e-06,-6.40945e-05,0.00016775826
1977-05-01,5.07561e-06,-3.5706544e-06,-1.8284336e-06,8.456938e-05,-1.2273642e-05,-4.0487503e-06,-4.0837913e-05,0.00015802616
1977-06-01,1.0893811e-05,4.63803e-06,-6.2528597e-06,6.9100104e-05,-8.651448e-06,-3.0034207e-06,-3.415266e-05,9.477149e-05
1977-07-01,1.5253407e-05,6.509901e-06,4.5569977e-06,5.7601465e-05,-1.1592958e-05,-5.199425e-06,-3.9687242e-05,-1.49153275e-05
1977-08-01,9.1921065e-06,5.367332e-06,-4.4539156e-06,6.61748e-05,-1.1511926e-05,-1.0701591e-05,-4.5837674e-05,2.4920691e-05
1977-09-01,1.1371907e-05,5.5699165e-06,5.8940495e-06,8.2430095e-05,-9.542815e-06,-3.0763476e-06,-4.974349e-05,-3.7515543e-05
1977-10-01,1.2360513e-05,3.5683915e-06,-1.7068851e-06,8.166838e-05,-2.4037727e-06,-6.504062e-06,-4.2725995e-05,0.00012906482
1977-11-01,8.657287e-06,5.7400866e-06,-2.338944e-06,6.355742e-05,-1.1471409e-05,3.9087317e-06,-5.975111e-05,0.00014693268
1977-12-01,8.154879e-06,5.407848e-06,-8.132833e-06,6.004057e-05,-1.26626e-05,5.6347417e-06,-7.267594e-05,0.00018924833
1978-01-01,5.0881135e-06,4.790356e-06,-7.715575e-06,3.9356055e-05,-1.3764355e-05,3.6418496e-06,-5.3077205e-05,0.0001464221
1978-02-01,1.2710774e-05,3.4717013e-06,-7.7921395e-06,4.752319e-05,-1.9447321e-05,4.93498e-06,-1.986419e-05,0.00010391897
1978-03-01,-2.4494693e-06,1.710665e-06,-9.485117e-06,6.4759246e-05,-8.949148e-06,-2.970919e-07,-5.3443026e-05,0.00012625098
1978-04-01,2.7570786e-06,2.3887696e-07,-6.1672217e-06,8.16465e-05,-2.8578252e-06,-5.120808e-06,-6.719104e-05,0.00011007834
1978-05-01,1.259167e-05,8.856907e-06,2.6634953e-06,8.523664e-05,-1.1441825e-05,-4.287078e-06,-6.602552e-05,0.00019851311
1978-06-01,8.754818e-06,2.289169e-06,4.832891e-06,9.220422e-05,-1.1169588e-05,-6.77125e-06,-3.1076986e-05,9.034961e-05
1978-07-01,1.5152407e-05,5.453934e-06,-2.0666375e-06,5.9799415e-05,-5.8864716e-06,-7.826169e-06,-4.507171e-05,-8.523781e-06
1978-08-01,1.349346e-05,3.344092e-06,-3.870209e-06,8.804409e-05,-1.0761232e-05,-8.438703e-06,-3.347608e-05,-1.4215253e-05
1978-09-01,1.2064211e-05,4.4500557e-06,6.874674e-06,8.291411e-05,-1.24031685e-05,-6.2182626e-06,-5.4982873e-05,-1.9813142e-05
1978-10-01,1.2855402e-05,3.2334938e-06,5.9558733e-06,8.02683e-05,-6.941398e-06,-4.099911e-06,-3.534771e-05,6.03524e-05
1978-11-01,9.733172e-06,3.1058808e-06,-2.0836487e-06,5.803838e-05,-5.860955e-06,2.5614063e-06,-6.361792e-05,0.00023218553
1978-12-01,1.4531364e-05,2.825138e-06,-6.643637e-06,4.1338288e-05,-7.681545e-06,8.5141437e-07,-3.680249e-05,6.415522e-05
1979-01-01,1.0636904e-05,2.550707e-06,-4.0821724e-06,1.6171347e-05,-1.3545647e-05,3.623798e-06,-2.7952086e-05,8.8575354e-05
1979-02-01,1.1431162e-05,3.6068996e-06,-8.509724e-06,7.183684e-05,-1.6257942e-05,-7.108101e-07,-5.0985505e-05,0.00010262692
1979-03-01,-4.056823e-06,-7.2770854e-07,-1.1754342e-05,5.6534744e-05,-7.225397e-06,-4.1751155e-06,-8.3921754e-05,0.0001880094
